INSERT INTO wali_siswa (nik, nama_w, alamat_w, tanggal_w) VALUES
('2168114224105890','Lee Barton','Idukeh Glen','2124-09-09'),
('9137796583556113','Theodore Stevens','Diop Place','2042-12-26'),
('2419071305885102','Seth Griffin','Navene Glen','2124-10-13'),
('3393448871701861','Marie Wilson','Jamsa Park','2047-11-12'),
('7679286581977739','Olga Larson','Uvlo Heights','2088-05-13'),
('7127861066483975','Lizzie Burgess','Tagwad Boulevard','2096-11-04'),
('3114521526692937','Robert Castillo','Bamop Park','2050-04-06'),
('4065260046455639','Nelle Bowers','Kafo Street','2036-10-20'),
('8432095042656232','Carlos Fisher','Cavtuj Junction','2100-01-23'),
('0622749726631790','Virgie Edwards','Cuba Manor','2096-05-18'),
('9814977963709071','Lilly Ingram','Rorbul Street','2125-02-01'),
('2427372488652384','Isabel Lane','Nirmed Glen','2066-07-16'),
('3478693838193928','Steven Alvarez','Moig Trail','2118-12-14'),
('7085584445568584','Myrtle Barnes','Kuus Terrace','2074-08-18'),
('0804756544677022','Jessie Morton','Vakifo Turnpike','2108-08-17'),
('1549861662646202','Gavin Barton','Vaunu Boulevard','2062-08-27'),
('0119340193536337','Manuel Price','Goke Extension','2122-03-20'),
('8967403766598629','Caleb Wolfe','Ohano Point','2062-12-02'),
('8799957942060458','Charlie Nelson','Zorton River','2036-07-18'),
('9533909758415044','Dale Wilkerson','Lina Mill','2067-04-08'),
('2935155656806548','Ricardo Price','Benuc Path','2081-10-03'),
('8186912484464098','Gerald French','Zatgu Loop','2054-08-12'),
('7531237093569180','Eddie Lopez','Bomar Center','2042-01-22'),
('3024282201473651','Jay Gomez','Acahut Avenue','2061-09-20'),
('3722207339027521','Edith Gregory','Veir Court','2115-06-25'),
('5031891449283774','Edward Allison','Mualu Lane','2035-03-09'),
('1253702908793289','Kate Morales','Bijaw Parkway','2045-02-13'),
('6361198875286913','Owen Fletcher','Notbe View','2076-10-11'),
('3069494396371528','Billy Briggs','Furap Way','2068-04-18'),
('5513601092152798','Patrick Nunez','Nolha Circle','2070-03-18'),
('7634488283047469','Don Francis','Zepu Drive','2113-10-26'),
('1362215546980480','Charlotte Wilson','Vamul Highway','2036-08-20'),
('1423625316068253','Roger Hampton','Cuvus Park','2111-07-21'),
('2091557963977847','Dominic Lamb','Matlop Circle','2080-06-09'),
('6842344648256566','Lora Martinez','Bopuv Pass','2049-01-30'),
('3999620855823187','Rhoda Garner','Zikha Street','2120-05-06'),
('1684318286312208','Lee Weber','Hiseh Street','2073-08-31'),
('2371631129033257','Carlos Vaughn','Baru Street','2027-07-29'),
('9057065155220962','Frank Jennings','Imiloz Avenue','2068-04-30'),
('5232786395711842','Callie Todd','Wolu Drive','2108-05-08'),
('9316222513602328','Barry Vargas','Nalzi Junction','2041-09-16'),
('0003814806529322','Ricky Dean','Hofir Drive','2055-09-08'),
('4118267374141811','Nelle Walker','Jiseco Pike','2062-12-20'),
('2746105361192609','Henrietta Drake','Rewi Turnpike','2044-08-03'),
('8161470488971466','Joe Soto','Oloimo Manor','2040-11-20'),
('9065028822041635','Teresa Daniel','Suwer Pass','2094-03-14'),
('0824401211624618','Ernest Waters','Bauw Park','2077-09-28'),
('8191401287532696','Harold Boone','Daflom Manor','2025-03-16'),
('7911837865042128','Theodore Bell','Beko Glen','2090-05-02'),
('3255622236089631','Lulu Palmer','Bufuh Key','2062-08-11'),
('8233919327192662','Hulda Cook','Owpe Road','2047-09-18'),
('3080739718737387','Jesus Wolfe','Hesvun View','2091-10-23'),
('9463457739137949','Violet Diaz','Vurler Path','2116-05-01'),
('1717122384840577','Belle Malone','Sahtu Parkway','2032-08-04'),
('0773919832351181','Devin Copeland','Sabben Circle','2096-03-24'),
('5603153742008818','Susie Frank','Cosgo Key','2113-07-16'),
('1736024957703416','Shawn Robertson','Jojro Pass','2065-11-24'),
('5956580115199775','Lewis Jones','Foceva Boulevard','2106-03-01'),
('2705955337387673','Beatrice Adkins','Juvre Park','2049-02-19'),
('9998511697200737','Josie Perkins','Bimim Loop','2090-06-09'),
('8836510220879511','Nora Hunter','Wogfe Park','2072-06-29'),
('2759974564446842','Carolyn Graham','Gori Terrace','2037-06-06'),
('5836398919390795','Louis Farmer','Juhha Lane','2107-07-22'),
('4591496117398777','Arthur Hogan','Obmas Place','2040-03-09'),
('8003936995623866','Ryan Payne','Near Court','2090-11-13'),
('3072427522813243','Francis Watson','Gogtu Loop','2088-05-08'),
('7826039103419441','Jackson Houston','Ufkog Circle','2070-06-07'),
('1770179059552605','Carl Gregory','Jewhub Pass','2093-11-04'),
('9564487014555073','Pearl Kim','Vimaw Manor','2078-02-20'),
('1468790337531579','Nettie Moss','Kuob Terrace','2031-09-28'),
('5626647720824149','Robert Smith','Guopi Road','2080-11-05'),
('2425976618861593','Carl Davis','Opnu Key','2044-09-18'),
('8895495973753637','Mittie Thompson','Mupbuh Pike','2095-04-16'),
('7543307934787745','Bradley Guerrero','Sunjo Pass','2087-08-08'),
('7600392481130308','Madge Gonzales','Cojmut Manor','2069-06-24'),
('1518851174122831','Hulda Walsh','Butgu Mill','2105-05-21'),
('3413599348175502','Katharine Conner','Kejami Parkway','2064-03-08'),
('9160409589222028','Roy Ballard','Hogu Place','2052-05-02'),
('5876620501282168','Adeline Clarke','Fimra Manor','2098-07-07'),
('9501571632279071','Howard Hardy','Ibok Terrace','2110-10-24'),
('5375343298798381','Theodore Rowe','Sojor Loop','2033-02-17'),
('3663217774390793','Nettie Hogan','Hazpoc Lane','2036-03-01'),
('5127076637798350','Lucinda Pena','Fefbun Terrace','2034-12-14'),
('3358509386321296','Dorothy Manning','Rilje Park','2068-10-21'),
('6795916280306436','Hulda Hunter','Tigep Boulevard','2114-12-30'),
('0509515814205280','Linnie Mendez','Fuhcum Glen','2079-10-24'),
('0903136468380160','Rosetta Wilson','Mamup Highway','2056-01-18'),
('6805404883203462','Theodore Dunn','Zivtoj Road','2098-02-20'),
('4236717959564382','Jacob Douglas','Banos Turnpike','2125-08-20'),
('4012120828915877','Joseph Tyler','Puce Turnpike','2073-06-20'),
('9191152233501354','Charlotte Boone','Riuke Street','2030-03-16'),
('8382048508130098','Lura Gross','Tujvu Drive','2034-07-25'),
('1583708400803449','Kathryn Duncan','Orac Lane','2062-04-28'),
('5271826153767967','Bill Lucas','Egice Junction','2125-09-13'),
('4716393473711252','Gilbert Marshall','Tora View','2089-11-29'),
('4360290286206234','Willie Townsend','Sodi Circle','2083-05-16'),
('5168530273294906','Rosie Schmidt','Podo Terrace','2076-06-12'),
('1992389469971170','Tyler Mason','Jazoh River','2029-01-26'),
('2738964508801888','Alan Chandler','Gibe Center','2106-03-17'),
('6917649786690562','Willie Chapman','Ahmi Terrace','2098-05-27'),
('0774462162043919','Hannah Kelley','Pivozo Pike','2054-11-08'),
('7017608533688349','Olga Webster','Liguj Terrace','2045-06-23'),
('8881172476469370','Justin Alvarado','Ozojak Manor','2048-07-31'),
('9792411251534855','Brett Fox','Sorfok Street','2043-07-24'),
('8929816996643431','Lois Peterson','Togwi Terrace','2095-03-08'),
('8309392183037129','Katharine Wright','Kulo River','2100-12-25'),
('4374061166121221','Milton Soto','Hejaw Point','2105-03-28'),
('3839811622798917','Estelle Burke','Jaled Drive','2032-08-19'),
('0134064969840956','Celia Collins','Fuvzen Extension','2079-03-09'),
('8906157784884736','Gary Green','Covfiw Mill','2041-01-10'),
('9211644696691070','Tyler Quinn','Hamro Path','2099-04-17'),
('3047822760311817','Derrick Fernandez','Pedgiz Path','2098-06-23'),
('3328126937500178','Sarah Guerrero','Jieza River','2093-08-30'),
('8390428275335433','Alma Perez','Sisbeg Parkway','2057-10-05'),
('0878331057707835','Christina Lane','Vekve Pass','2072-06-19'),
('2766639299611825','Phillip Colon','Rimi Pike','2026-07-08'),
('2528893701673015','Theodore Fitzgerald','Vago Circle','2121-02-27'),
('6361948784876226','Rodney Evans','Fojof Point','2117-01-14'),
('8684354838556268','Luella Atkins','Rode Heights','2071-01-09'),
('8443795584445912','Leah Hampton','Nagka Center','2093-12-28'),
('6367720816707822','Sue Hart','Pobgig Street','2046-12-19'),
('7594705820253995','Ricky Ballard','Farum Point','2042-11-25'),
('5768941943287936','Bernard Barnes','Akwu Parkway','2066-02-24'),
('6516934266576786','Rose Jenkins','Ceha Point','2066-10-04'),
('2798376132642182','Laura Fuller','Zinve Plaza','2067-09-25'),
('1122872569202995','David Hicks','Hebcip Path','2122-08-12'),
('9762049009448155','Eddie Saunders','Wusu Avenue','2076-12-06'),
('3131523079746691','Harry Gomez','Dizlop Glen','2041-08-01'),
('1515073993118532','Cameron Moss','Temda Trail','2067-10-27'),
('1525243133409473','Teresa Powers','Waoro Avenue','2062-10-16'),
('1115793185561352','Mark Lindsey','Catraj Center','2068-03-09'),
('8577827805551669','Chris Fitzgerald','Pocor Court','2088-11-15'),
('7688692135647372','Sylvia Hoffman','Ijnes Turnpike','2031-07-09'),
('9560316643951388','Oscar Sutton','Uzoaj Circle','2068-12-01'),
('6010431340150007','Eddie Haynes','Pijza Path','2026-11-27'),
('6719595693214188','Lydia Lamb','Hakup Loop','2103-11-16'),
('1835070139364845','Owen Adams','Jegut Place','2050-09-12'),
('5601079146353585','Amelia Farmer','Setoro Plaza','2040-07-22'),
('8695376299329277','Cora Cooper','Vusoc Junction','2098-10-15'),
('4871647149944063','Hannah Hammond','Puko Glen','2045-12-07'),
('6038197597568111','Charlotte Harmon','Nutuz Park','2050-09-03'),
('8513837780540903','Austin Hernandez','Fateba Circle','2094-02-05'),
('5197092611505605','Sam Bowen','Ufoce Road','2086-06-01'),
('1775608366994747','Ada Larson','Gisru Glen','2114-04-18'),
('3295006656505668','Bobby Evans','Cosje Court','2037-01-03'),
('7613507387097836','Georgie Bradley','Giwove Plaza','2027-05-25'),
('0140885135051908','Jared Roy','Hunroh Avenue','2062-12-13'),
('2460638173939878','Vernon Wheeler','Pepka Court','2124-09-22'),
('8655661003470733','Fred Schmidt','Fofap Drive','2095-07-02'),
('1089254783600348','Esther Copeland','Liwoh Avenue','2039-04-01'),
('3811088516347985','Clarence Wise','Biver Street','2107-05-12'),
('3228574258936746','Betty Hawkins','Hektin Drive','2060-04-24'),
('0062314714509769','Eleanor Vega','Duves Court','2124-12-29'),
('6921376697195243','Jim Scott','Cuhmu Grove','2083-04-21'),
('9444616299027086','Albert Schwartz','Zafo Parkway','2078-05-15'),
('5216915749710262','Nelle Parsons','Ujem Glen','2047-07-03'),
('5801341268980184','Juan Evans','Vahim Ridge','2029-08-26'),
('8212954566145109','Gene Wong','Kuti Square','2121-10-03'),
('8901377140148683','Ina Powers','Tunhih Court','2085-10-10'),
('9527687876940650','Beulah Hubbard','Tugna Boulevard','2104-07-13'),
('7866910686358460','Lee Parks','Afuwi Ridge','2102-03-24'),
('1907032257573560','Josephine Sandoval','Hewvep Plaza','2122-10-14'),
('6588715319009012','Alan Rowe','Uloku Circle','2066-11-16'),
('8947959766844980','Dustin Holmes','Ozeef Ridge','2059-08-23'),
('0691189960226510','Cameron Carpenter','Jarih Turnpike','2041-08-27'),
('2935649699540720','Dale Ward','Teset Turnpike','2097-05-08'),
('4668589927382617','Lena Harrison','Upmub Park','2068-08-04'),
('7190514071871308','Mildred West','Zapuc Grove','2090-05-22'),
('7468618892128885','Lee Larson','Boga Loop','2042-06-21'),
('4721365079574967','May Jennings','Usilel Path','2056-04-25'),
('6061678929456487','Helena Carter','Vonbil Junction','2097-02-26'),
('8140984578880079','Etta Perkins','Wove Avenue','2099-11-09'),
('1289662397973723','Francis Collier','Hahpu Terrace','2059-11-20'),
('9842850808739166','Theresa Tran','Nafe Court','2058-05-31'),
('3696876271061529','Marc Wagner','Buvbaw Lane','2081-10-12'),
('3962923083383718','Beatrice Hoffman','Owomo Ridge','2040-11-24'),
('8752463264374721','Delia Ballard','Bitfuv Glen','2029-12-01'),
('3828886617760742','Violet Hunt','Veve Terrace','2117-10-06'),
('8472340076282482','Frederick Lynch','Rahew Road','2087-02-24'),
('8155303760715160','Jacob Schneider','Weje Plaza','2053-10-17'),
('7135946928007285','Aaron Carroll','Vilu Heights','2053-01-18'),
('2063472009866216','Bryan Russell','Orav Boulevard','2108-06-06'),
('1912499176128432','Jeremy Rodriguez','Muceg View','2054-04-04'),
('3568031977477797','Agnes Thompson','Jilde Pike','2082-08-08'),
('7847741644213859','Lelia Barker','Ugeic Loop','2026-03-08'),
('5165044273015495','Kenneth Barber','Wima Boulevard','2064-10-09'),
('7908269211731308','Lola Chandler','Zuzpu Drive','2065-08-26'),
('5198124582467660','Milton Ross','Rizo Square','2033-08-17'),
('6287726068192969','Henry Austin','Mosep Way','2027-02-26'),
('7687671784058580','Mamie Wallace','Feved Extension','2123-05-28'),
('9425926071203590','Hannah Thompson','Jave Junction','2088-08-17'),
('2115207227996637','Benjamin Ward','Tagabu Heights','2096-02-15'),
('1072637655993956','Luke Santos','Ornu Boulevard','2071-04-25'),
('8883694409431040','Olive Riley','Loun Circle','2108-01-26'),
('3866636017119849','Nina Patterson','Cudbu Lane','2121-03-16'),
('2522567293053950','Kyle Bush','Luhsar Circle','2063-02-12'),
('6456140346750578','Harold Webster','Felem Trail','2119-09-05'),
('3302442482488582','Warren Carpenter','Rajek Glen','2039-05-19'),
('4437392520869667','Rose Bass','Baoca Square','2081-03-23'),
('2884498685956174','Craig Warren','Bihu Junction','2121-01-16'),
('4963130358793654','Jimmy Pierce','Lojoz Center','2083-03-28'),
('7415690104111508','Lester Myers','Miocu Highway','2038-12-11'),
('2343699686601467','Jason Meyer','Sifjo Trail','2110-11-10'),
('8434261084637659','John Price','Ebisur Center','2077-02-21'),
('8754066115730589','Keith Norton','Acaja Road','2091-06-29'),
('5878600461944419','Sam Underwood','Dezo Pass','2071-05-14'),
('7429635013923496','Myra Baldwin','Ruvca Square','2072-12-26'),
('1061405711653183','Eleanor Moore','Lateb Turnpike','2086-06-24'),
('9791682981763931','Stella Luna','Ikube Path','2098-09-15'),
('2255978592346509','Nelle Perez','Gusih Pass','2044-01-05'),
('4992376964681985','Kenneth Warner','Essu Lane','2103-08-04'),
('0283972580526990','Edward Cruz','Ofdep Place','2038-11-19'),
('1653257239823126','Ronald Little','Solne Plaza','2026-03-16'),
('6385365978628003','Lola McCarthy','Loze View','2078-07-21'),
('2963488967502978','Cory Parsons','Zefo Path','2051-01-12'),
('5256618175970789','Lois Rogers','Tunap Place','2090-06-06'),
('0670060896151231','Louisa Rhodes','Dibi Mill','2035-11-25'),
('7832891052892847','Isabella Leonard','Enti Point','2057-04-26'),
('3909864902883776','Ivan Williamson','Wipiz Turnpike','2098-04-22'),
('3753619889431584','Clarence Sandoval','Mopet Avenue','2061-12-14'),
('4895186283506673','Hunter Ingram','Egbob Turnpike','2050-07-23'),
('6812906175022116','Lida Mack','Godjac Boulevard','2029-06-13'),
('3283437704991766','Sean Ortega','Vijmon Mill','2092-05-18'),
('4847253083426121','Logan Malone','Vujuvi Parkway','2042-10-06'),
('4672347604133653','Isaac Ortega','Onila Grove','2104-11-10'),
('5592175555470245','Brandon Fletcher','Vugo Glen','2071-09-05'),
('8266267908424003','Ellen Ortega','Copuw Parkway','2069-12-21'),
('4961931953146286','Lloyd Higgins','Megri Junction','2125-11-22'),
('9076080485534099','Warren McDonald','Armap Extension','2074-02-19'),
('1790790731879084','Sadie Welch','Cabegu Lane','2050-11-05'),
('3127725489958240','Christina Santos','Sosku Plaza','2068-02-06'),
('9013610146671738','Rosie Jensen','Seluv Plaza','2105-06-17'),
('1397494643828603','Calvin Logan','Atmir Circle','2056-10-10'),
('3736434657251310','David Reyes','Pufe Extension','2119-11-07'),
('4513364541422127','Pauline Potter','Cohol Manor','2051-10-02'),
('1033229854336224','Michael Shaw','Ceun Circle','2090-11-25'),
('9752078560903634','Bill Dennis','Sekmed Grove','2087-11-14'),
('4070769183847430','Harry Love','Lokicu Key','2060-04-09'),
('7617849396322702','Francisco Gardner','Imahi Point','2081-11-01'),
('5563077733118627','Warren Edwards','Zigi Key','2028-05-18'),
('4662638016381890','Ola Burton','Saum Lane','2122-05-12'),
('9612317557403720','Lettie Fleming','Cuhko Drive','2071-07-11'),
('5652043303967831','Isaiah Cobb','Caza Court','2080-05-17'),
('8733595935761621','Abbie McBride','Pasve Road','2063-09-26'),
('0911197592693491','Isaac Strickland','Togsit Mill','2114-07-25'),
('2180722559632917','Laura Mullins','Zuefe View','2098-03-24'),
('7436108733107363','Willie Brady','Cuewe Lane','2071-05-09'),
('7970727378954956','Addie Brady','Jindaz Pass','2050-03-18'),
('8903360885609098','Robert Francis','Zikpab Loop','2103-12-31'),
('6179955023079393','Mathilda Holland','Efuci Grove','2032-06-20'),
('2452886738440164','Rodney Scott','Vicel Plaza','2056-02-15'),
('6873560476144040','Marcus Willis','Leka Glen','2110-08-22'),
('0159219378340718','Lina Adams','Omakaz Street','2052-11-19'),
('3597316467419923','Mark McDonald','Pawuf Mill','2080-11-27'),
('6737624728358279','Mabel Brewer','Wivvo Lane','2119-05-23'),
('0168800179438751','Billy Hampton','Tusav Manor','2034-07-13'),
('2009037230836953','Alejandro Hines','Olpe Plaza','2036-04-30'),
('3073713699271458','Jorge Frazier','Voco Avenue','2076-01-01'),
('4658731131940256','Jeanette Cortez','Riji Glen','2105-01-17'),
('3662636098593893','Carolyn Haynes','Ornoc Pike','2064-05-14'),
('9708807979931043','Caleb Bush','Togtir Terrace','2092-01-17'),
('2675974468315516','Grace Howard','Hecaho Glen','2124-11-06'),
('4721072675203305','Harold Nguyen','Diul Street','2090-07-31'),
('9372619631826532','Elva Walton','Tinuf Road','2104-05-16'),
('8997846616707165','Helena Green','Jibe Key','2067-06-04'),
('5380856510823989','Mason Davis','Mogdo Terrace','2074-05-12'),
('0870545959724468','Stella Reyes','Belaf Way','2109-02-22'),
('4063936284879373','Ruby Morris','Oneug Extension','2115-08-09'),
('0441200091007654','Lucile Hardy','Suli Terrace','2091-07-08'),
('9684587595085305','Gordon Ramirez','Pajuk Extension','2027-03-03'),
('5798364554616205','Trevor Taylor','Rehbuj Terrace','2092-03-04'),
('6091779351888556','Eva Arnold','Leep Place','2039-07-12'),
('5961820785643215','William Ward','Dutot Parkway','2062-06-09'),
('6281369518219572','Francisco Collins','Kokar Parkway','2032-01-19'),
('5826777681921647','Isabelle Reyes','Morpi Drive','2055-01-23'),
('2468344084694176','Dominic Swanson','Ubauh Circle','2025-01-23'),
('9537655877997477','Brett Bates','Vewepi Pike','2094-08-10'),
('8505555764286964','Jessie Abbott','Newup Key','2030-03-01'),
('9926748328412712','Jordan Burns','Lihcu Avenue','2125-05-16'),
('7605765284266168','Eunice Shelton','Alki Heights','2084-11-10'),
('3514755623764584','Kenneth Carter','Wavon Lane','2097-12-11'),
('6013953695828887','Eddie Stone','Ziga Pike','2103-11-08'),
('4233250561694773','Ralph Ramos','Novje Grove','2118-06-28'),
('5695585536314392','Evan Thornton','Huur Road','2090-07-30'),
('3071857654267895','Jared Chapman','Icfu Center','2069-09-24'),
('2221763874935762','Mathilda Mitchell','Zimkis Grove','2050-08-29'),
('2447376212336771','Lily Bush','Pede Park','2058-07-02'),
('4873317175363408','Angel Clark','Nutig Circle','2029-08-03'),
('0691013522216232','Essie Freeman','Elzo Terrace','2103-05-13'),
('0314083110349119','Lelia Park','Zaznes Trail','2050-08-29'),
('0884778828731722','George Maldonado','Nolez Key','2111-11-20'),
('2337825180936878','Lettie Williams','Lopfad Drive','2056-12-04'),
('0802716758974191','Sadie Alvarez','Leslup Way','2077-01-02'),
('4065865107493291','Mathilda Lamb','Ecokoh Manor','2090-11-25'),
('0588904952530223','Estelle Drake','Genli Pass','2057-06-05'),
('1080755635840112','Jared Drake','Zocul Square','2080-11-19'),
('5070120140882005','Charlie Rowe','Jadto Park','2072-04-25'),
('6766985149523559','Marcus Parker','Sonsud Park','2040-03-07'),
('4124920818323142','Chester Lee','Jozruf Parkway','2075-10-31'),
('2817507541982514','Addie Bridges','Tura Extension','2110-10-07'),
('1193718365535914','Mae Hudson','Durver Parkway','2028-12-26'),
('5540558465624040','Lina Lamb','Fiin River','2089-11-09'),
('2030873846120314','Bess Casey','Azje Way','2057-11-12'),
('8661120275318271','Madge Cooper','Hadbu Heights','2076-12-17'),
('9555097574557777','Katie Barnett','Lewtug Manor','2073-08-28'),
('0810266526502848','Nell George','Nuga Pike','2098-04-08'),
('7780770732552823','Ann Howell','Fiadu Junction','2072-03-08'),
('0224188500609496','Gary Silva','Rihu Path','2116-04-02'),
('6746479817462258','Barry Cross','Ubevov Highway','2111-10-04'),
('1138158683977487','Sue Cannon','Hute Lane','2084-08-26'),
('2637957631019705','Roger Kim','Ubafov Way','2060-05-22'),
('3207201247627515','Emily Moran','Ekiino Manor','2048-12-30'),
('1620249809171037','Jack Johnson','Nehop Loop','2051-11-29'),
('4971729564230649','Bradley Vargas','Ziha Avenue','2034-10-22'),
('4232016038843182','Frederick Hall','Sarzup Junction','2088-04-14'),
('9018628530536851','Victor Watson','Sivsa Place','2068-07-13'),
