INSERT into tentor (id_tentor, alamat_tentor, nama_tentor, tanggal_t) VALUES
('641426','lily','sari','2015-08-28'),
('974777','bougenville','indah','2011-09-22'),
('039866','flamboyan','nanda','2025-08-15'),
('570655','cempaka','mira','2014-09-04'),
('752957','teratai','lia','2023-10-21'),
('461951','flamboyan','ayu','2013-12-14'),
('062744','flamboyan','eka','2025-09-16'),
('695804','melati','ayu','2023-04-07'),
('987373','mawar','mira','2019-08-20'),
('885999','teratai','ayu','2013-05-03'),
('920560','kenanga','indah','2017-06-16'),
('045325','bougenville','mira','2023-07-14'),
('499601','kenanga','nanda','2021-03-07'),
('128675','flamboyan','hendra','2022-03-25'),
('089046','lily','budi','2012-07-16'),
('153240','kenanga','ayu','2012-08-29'),
('645103','anggrek','hendra','2010-01-19'),
('717337','sakura','citra','2017-12-19'),
('733159','sakura','dewi','2025-02-20'),
('125368','flamboyan','kartika','2017-03-22'),
('559893','bougenville','tono','2017-04-03'),
('928949','flamboyan','hendra','2025-07-09'),
('802631','flamboyan','sari','2015-10-04'),
('138011','lily','wawan','2013-06-17'),
('579343','anggrek','hendra','2011-12-15'),
('463881','mawar','budi','2017-09-19'),
('925830','cempaka','budi','2025-04-02'),
('502077','teratai','utami','2018-12-08'),
('426598','flamboyan','fajar','2013-08-30'),
('391559','sakura','lia','2025-05-13'),
('528603','cempaka','dewi','2013-02-19'),
('715380','melati','vina','2017-10-07'),
('957050','sakura','sari','2012-01-28'),
('255475','bougenville','fajar','2018-09-06'),
('551866','flamboyan','wawan','2022-03-16'),
('365070','cempaka','dewi','2021-06-16'),
('925667','kenanga','kartika','2022-01-19'),
('293423','cempaka','budi','2017-11-24'),
('246909','flamboyan','lia','2022-12-18'),
('869172','melati','tono','2016-06-22'),
('816555','mawar','wawan','2018-01-20'),
('684822','lily','joko','2020-12-21'),
('411168','flamboyan','fajar','2016-10-02'),
('639474','teratai','indah','2015-07-31'),
('796832','mawar','ayu','2018-03-30'),
('127853','anggrek','mira','2020-06-11'),
('381202','bougenville','vina','2012-05-13'),
('802116','cempaka','dewi','2012-06-01'),
('155370','anggrek','mira','2018-07-31'),
('241897','lily','wawan','2024-06-28'),
('825664','sakura','indah','2014-07-02'),
('259596','anggrek','joko','2013-11-10'),
('183317','lily','tono','2023-09-06'),
('116553','lily','budi','2014-12-03'),
('759963','mawar','sari','2013-10-03'),
('417460','bougenville','wawan','2016-11-14'),
('234432','anggrek','kartika','2014-10-15'),
('881226','melati','fajar','2024-11-27'),
('861764','anggrek','sari','2011-02-02'),
('660575','kenanga','hendra','2018-05-04'),
('182198','teratai','budi','2014-04-25'),
('513131','kenanga','vina','2015-08-20'),
('220628','cempaka','gita','2015-04-17'),
('053369','anggrek','vina','2018-12-03'),
('192832','anggrek','gita','2016-08-08'),
('642280','lily','ayu','2019-03-05'),
('679049','mawar','vina','2015-03-30'),
('875773','cempaka','utami','2016-01-29'),
('583313','cempaka','gita','2016-11-24'),
('542812','mawar','lia','2020-06-27'),
('535985','sakura','mira','2011-09-28'),
('132037','anggrek','mira','2014-01-28'),
('429050','melati','joko','2010-09-22'),
('064582','teratai','gita','2010-02-27'),
('435574','mawar','eka','2022-03-25'),
('994983','cempaka','sari','2020-10-10'),
('085566','flamboyan','joko','2022-08-19'),
('284503','sakura','utami','2024-05-16'),
('506707','mawar','rudi','2020-08-15'),
('797294','flamboyan','rudi','2014-03-28'),
('329077','lily','eka','2024-01-23'),
('665829','bougenville','tono','2021-03-09'),
('959682','bougenville','hendra','2013-01-23'),
('499027','sakura','tono','2012-10-22'),
('147095','kenanga','vina','2019-05-02'),
('283851','cempaka','vina','2011-08-19'),
('528895','teratai','fajar','2010-03-28'),
('345557','kenanga','budi','2022-10-09'),
('137494','teratai','kartika','2025-03-06'),
('714987','melati','fajar','2011-10-15'),
('180544','anggrek','citra','2010-05-06'),
('264305','teratai','rudi','2022-03-03'),
('203445','melati','vina','2016-07-03'),
('743820','cempaka','nanda','2021-04-28'),
('161845','bougenville','rudi','2017-02-07'),
('651923','cempaka','nanda','2017-01-14'),
('617309','mawar','joko','2018-02-05'),
('222469','mawar','fajar','2024-07-28'),
('544060','teratai','lia','2018-09-23'),
('233272','mawar','budi','2011-01-16'),
('725201','flamboyan','ayu','2025-02-24'),
('199810','mawar','kartika','2012-07-21'),
('738956','bougenville','budi','2024-01-17'),
('995540','teratai','fajar','2017-05-28'),
('854825','anggrek','fajar','2021-05-01'),
('313478','kenanga','sari','2020-04-11'),
('678022','flamboyan','rudi','2020-10-02'),
('770181','teratai','citra','2011-05-21'),
('297635','mawar','rudi','2019-01-02'),
('041990','kenanga','hendra','2017-01-03'),
('309282','teratai','fajar','2023-02-27'),
('861501','lily','mira','2024-12-06'),
('101671','anggrek','fajar','2015-10-05'),
('254447','sakura','gita','2020-11-01'),
('982832','cempaka','citra','2011-07-17'),
('750907','flamboyan','tono','2017-09-06'),
('715676','lily','dewi','2017-03-13'),
('812626','bougenville','utami','2012-03-20'),
('059568','mawar','lia','2019-03-18'),
('397249','sakura','utami','2018-12-02'),
('362220','kenanga','wawan','2010-05-25'),
('289655','anggrek','hendra','2025-08-26'),
('922315','flamboyan','tono','2019-07-22'),
('455013','flamboyan','tono','2015-01-19'),
('765551','cempaka','utami','2016-10-24'),
('630758','mawar','sari','2018-09-01'),
('570183','melati','nanda','2020-03-16'),
('936840','anggrek','vina','2018-04-16'),
('342349','kenanga','vina','2015-12-31'),
('501337','cempaka','mira','2018-12-24'),
('278151','melati','sari','2019-11-02'),
('641712','bougenville','sari','2018-01-15'),
('687778','mawar','gita','2011-07-30'),
('642761','mawar','budi','2018-02-20'),
('102918','sakura','utami','2021-07-20'),
('775313','teratai','sari','2011-08-06'),
('144262','anggrek','nanda','2011-07-12'),
('474832','bougenville','nanda','2017-04-04'),
('625601','anggrek','fajar','2022-07-03'),
('198525','kenanga','eka','2013-07-27'),
('933116','anggrek','dewi','2018-03-29'),
('323437','melati','dewi','2020-04-22'),
('099559','sakura','budi','2010-06-05'),
('472666','teratai','gita','2022-10-06'),
('305844','bougenville','joko','2011-12-18'),
('620150','melati','mira','2024-03-08'),
('392956','anggrek','rudi','2019-12-20'),
('011045','cempaka','nanda','2019-02-24'),
('002317','cempaka','hendra','2013-12-26'),
('929993','kenanga','wawan','2016-01-05'),
('480831','bougenville','nanda','2011-10-21'),
('104227','anggrek','hendra','2023-09-05'),
('488348','melati','nanda','2021-01-11'),
('856326','mawar','sari','2012-07-26'),
('710449','mawar','nanda','2015-08-03'),
('038874','flamboyan','mira','2019-09-13'),
('339937','melati','budi','2025-01-05'),
('027827','mawar','dewi','2013-07-02'),
('893081','teratai','wawan','2019-07-20'),
('797169','melati','budi','2012-01-31'),
('230274','flamboyan','tono','2022-11-05'),
('973574','lily','joko','2013-11-01'),
('121597','bougenville','ayu','2020-05-14'),
('976096','mawar','citra','2011-03-30'),
('799394','anggrek','sari','2015-01-03'),
('475944','flamboyan','joko','2020-02-11'),
('923557','anggrek','dewi','2010-01-22'),
('871681','kenanga','fajar','2020-06-16'),
('445616','sakura','rudi','2014-11-15'),
('534449','mawar','eka','2022-07-23'),
('618665','mawar','joko','2024-02-10'),
('739665','lily','lia','2010-02-12'),
('372535','teratai','sari','2012-01-02'),
('650705','anggrek','eka','2025-07-06'),
('877194','anggrek','joko','2024-07-08'),
('353998','sakura','vina','2010-11-12'),
('030914','kenanga','wawan','2011-05-25'),
('748253','lily','citra','2013-03-30'),
('523456','cempaka','mira','2025-10-10'),
('792705','mawar','fajar','2017-03-13'),
('328873','mawar','hendra','2010-06-08'),
('650574','anggrek','budi','2016-07-22'),
('992365','melati','dewi','2013-02-06'),
('655445','bougenville','mira','2015-05-12'),
('828231','bougenville','joko','2016-02-19'),
('636527','lily','gita','2024-03-29'),
('844331','mawar','ayu','2018-10-26'),
('833777','teratai','joko','2025-11-13'),
('701682','lily','budi','2016-07-14'),
('788927','cempaka','kartika','2015-03-12'),
('633054','lily','eka','2017-04-22'),
('499215','anggrek','wawan','2016-08-18'),
('373958','cempaka','eka','2019-01-10'),
('475291','bougenville','tono','2022-07-06'),
('557471','lily','dewi','2014-05-21'),
('278858','cempaka','sari','2015-05-12'),
('864048','teratai','utami','2017-02-28'),
('153434','mawar','joko','2017-02-25'),
('825993','anggrek','rudi','2020-10-15'),
('196323','teratai','nanda','2020-11-18'),
('963001','melati','tono','2011-04-05'),
('510375','mawar','budi','2015-09-07'),
('645260','melati','ayu','2012-09-15'),
('631134','cempaka','mira','2012-07-02'),
('767464','mawar','wawan','2013-10-03'),
('112218','cempaka','citra','2014-01-18'),
('061166','bougenville','tono','2020-10-07'),
('548384','kenanga','tono','2024-10-31'),
('975747','kenanga','hendra','2023-12-08'),
('750740','mawar','vina','2015-01-26'),
('347360','cempaka','hendra','2013-10-10'),
('593948','sakura','indah','2022-02-06'),
('280930','anggrek','utami','2019-12-10'),
('306447','bougenville','dewi','2013-09-27'),
('881204','cempaka','ayu','2021-01-07'),
('622681','flamboyan','wawan','2013-11-12'),
('265716','cempaka','tono','2016-01-01'),
('761904','teratai','tono','2015-07-05'),
('811354','bougenville','budi','2018-09-12'),
('727991','melati','wawan','2018-03-04'),
('250316','anggrek','budi','2017-02-09'),
('114210','bougenville','tono','2017-08-21'),
('585017','melati','mira','2017-08-04'),
('889874','cempaka','vina','2010-09-01'),
('923650','lily','utami','2013-09-23'),
('363058','flamboyan','fajar','2010-04-08'),
('622815','flamboyan','eka','2017-12-18'),
('707804','sakura','wawan','2015-10-17'),
('121677','kenanga','indah','2023-11-02'),
('454195','sakura','tono','2021-07-30'),
('474269','sakura','utami','2021-12-10'),
('425239','flamboyan','fajar','2024-10-18'),
('916777','lily','utami','2016-06-21'),
('242782','sakura','budi','2024-09-17'),
('449140','sakura','sari','2022-12-30'),
('856134','bougenville','wawan','2018-05-25'),
('054368','flamboyan','utami','2021-02-07'),
('677709','teratai','mira','2025-02-15'),
('018250','bougenville','dewi','2015-02-04'),
('997906','anggrek','mira','2013-05-17'),
('334826','mawar','vina','2012-06-15'),
('230385','cempaka','dewi','2018-04-13'),
('103300','flamboyan','vina','2016-10-26'),
('316808','mawar','hendra','2010-05-30'),
('825630','cempaka','ayu','2023-02-25'),
('074752','cempaka','fajar','2023-04-19'),
('501512','teratai','fajar','2019-02-16'),
('157623','teratai','ayu','2022-08-29'),
('336546','mawar','mira','2014-10-26'),
('821413','teratai','ayu','2015-08-15'),
('471611','melati','budi','2017-10-29'),
('404182','kenanga','utami','2017-08-13'),
('099514','lily','eka','2016-07-29'),
('510352','flamboyan','wawan','2021-04-06'),
('669646','lily','nanda','2022-09-03'),
('680816','teratai','rudi','2019-04-03'),
('994335','teratai','ayu','2023-04-07'),
('792919','melati','nanda','2010-06-01'),
('011390','cempaka','kartika','2018-07-21'),
('794249','lily','gita','2015-05-04'),
('029665','cempaka','citra','2012-11-23'),
('677792','kenanga','wawan','2014-02-21'),
('771563','melati','dewi','2012-06-09'),
('955820','lily','nanda','2018-12-20'),
('235272','cempaka','indah','2016-02-08'),
('298991','lily','budi','2017-08-13'),
('892211','kenanga','eka','2015-01-26'),
('366964','mawar','rudi','2025-11-13'),
('583432','mawar','wawan','2018-07-30'),
('579375','cempaka','tono','2018-08-26'),
('633102','melati','tono','2020-12-30'),
('000972','bougenville','dewi','2018-03-22'),
('051029','bougenville','joko','2017-10-30'),
('316170','cempaka','mira','2012-09-14'),
('365120','flamboyan','kartika','2018-09-09'),
('448528','teratai','eka','2020-06-12'),
('269798','kenanga','kartika','2019-01-22'),
('342003','kenanga','gita','2010-03-30'),
('989194','kenanga','kartika','2010-06-29'),
('759348','flamboyan','ayu','2012-11-12'),
('011893','kenanga','nanda','2016-01-11'),
('491872','bougenville','ayu','2010-09-04'),
('228627','teratai','vina','2022-01-05'),
('192844','bougenville','eka','2012-04-25'),
('079471','teratai','tono','2014-03-29'),
('386554','melati','mira','2016-09-20'),
('250883','teratai','tono','2025-05-23'),
('070666','sakura','kartika','2025-08-18'),
('009745','anggrek','joko','2019-10-19'),
('994857','flamboyan','citra','2023-06-29'),
('835824','mawar','rudi','2018-05-22'),
('477580','lily','dewi','2016-05-05'),
('558946','sakura','tono','2013-05-13'),
('129962','sakura','eka','2013-11-06'),
('826647','kenanga','indah','2013-08-07'),
('126100','mawar','utami','2024-12-30'),
('423646','lily','mira','2022-03-16'),
('838969','lily','nanda','2016-07-21'),
('149708','bougenville','fajar','2012-12-09'),
('293842','kenanga','joko','2021-09-06'),
('173933','lily','mira','2011-10-31'),
('688862','mawar','lia','2021-11-30'),
('284226','sakura','vina','2024-08-28'),
('223963','mawar','kartika','2012-01-05'),
('634118','teratai','vina','2012-04-27'),
('417492','kenanga','wawan','2013-05-03'),
('267068','bougenville','mira','2021-03-24'),
('035158','sakura','dewi','2012-06-16'),
('808610','melati','utami','2024-07-07'),
('138126','mawar','gita','2024-02-01'),
('874258','anggrek','mira','2023-10-11'),
('056880','teratai','tono','2024-06-14'),
('906763','sakura','lia','2016-09-16'),
('690989','melati','tono','2015-05-26'),
('571125','cempaka','dewi','2020-11-03'),
('708757','sakura','rudi','2011-10-16'),
('732201','anggrek','vina','2020-08-02'),
('243372','cempaka','vina','2018-01-29'),
('113560','bougenville','nanda','2018-04-26'),
('094112','sakura','kartika','2018-07-05'),
('419614','flamboyan','sari','2019-01-19'),
('789232','sakura','gita','2015-11-12'),
('452181','sakura','mira','2024-12-01'),
('939613','sakura','budi','2015-02-20'),
('392478','sakura','gita','2021-11-08'),
('570624','flamboyan','ayu','2021-11-23'),
('049491','lily','eka','2021-06-20'),
('623339','flamboyan','tono','2015-10-28'),
('072959','flamboyan','tono','2021-02-24'),
('746820','teratai','lia','2025-09-28'),
('871448','sakura','sari','2011-11-25'),
('743822','anggrek','lia','2022-07-27'),
('249542','flamboyan','nanda','2024-03-15'),
('049000','lily','nanda','2018-04-19'),
('934780','kenanga','eka','2012-10-28'),
('823086','lily','ayu','2021-12-11'),
('045965','anggrek','eka','2010-03-23'),
('823212','cempaka','rudi','2012-04-12'),
('123816','cempaka','eka','2019-01-22'),
('883784','melati','joko','2014-04-27'),
('065537','flamboyan','indah','2014-05-19'),
('012548','bougenville','eka','2011-04-01'),
('000166','mawar','lia','2025-07-28'),
('245363','sakura','vina','2018-09-23'),
('058784','bougenville','gita','2021-01-15'),
('980246','teratai','mira','2017-05-12'),
('321332','bougenville','joko','2016-11-08'),
('564835','anggrek','kartika','2013-12-20'),
('890806','anggrek','joko','2013-12-22'),
('643700','mawar','mira','2023-12-26'),
('526144','lily','tono','2017-03-01'),
('046681','melati','hendra','2016-04-05'),
('738275','flamboyan','eka','2023-08-03'),
('055668','mawar','ayu','2010-08-03'),
('747158','teratai','hendra','2014-03-17'),
('954110','melati','eka','2017-06-15'),
('839648','sakura','tono','2018-10-09'),
('211624','bougenville','ayu','2017-04-04'),
('442822','teratai','nanda','2021-05-14'),
('213508','sakura','lia','2012-08-16'),
('035186','cempaka','mira','2014-05-11'),
('853307','mawar','sari','2010-05-29'),
('887005','melati','joko','2021-05-18'),
('143257','lily','utami','2022-12-15'),
('237660','bougenville','mira','2022-10-01'),
('950923','kenanga','fajar','2010-06-04'),
('135453','sakura','fajar','2018-07-29'),
('171320','lily','joko','2018-07-02'),
('431418','bougenville','vina','2016-09-26'),
('744536','melati','kartika','2020-09-02'),
('513167','sakura','eka','2016-07-05'),
('539256','teratai','sari','2017-01-16'),
('604182','flamboyan','ayu','2010-04-19'),
('428148','lily','joko','2021-03-28'),
('161646','kenanga','wawan','2010-07-26'),
('379423','cempaka','joko','2021-05-15'),
('742172','bougenville','lia','2010-05-01'),
('104096','sakura','gita','2024-09-01'),
('409035','flamboyan','rudi','2020-12-26'),
('895995','kenanga','lia','2021-09-03'),
('099660','mawar','mira','2012-06-04'),
('976918','flamboyan','indah','2022-04-12'),
('942472','lily','indah','2013-11-17'),
('606733','kenanga','ayu','2023-10-27'),
('821853','mawar','mira','2023-05-07'),
('765078','bougenville','rudi','2018-11-13'),
('276551','sakura','vina','2017-07-20'),
('806942','mawar','sari','2013-09-19'),
('747311','mawar','utami','2020-02-10'),
('499778','lily','sari','2023-05-10'),
('836689','melati','citra','2011-10-08'),
('224620','lily','lia','2021-04-01'),
('910643','melati','sari','2020-06-01'),
('909856','anggrek','eka','2018-10-04'),
('695638','teratai','rudi','2015-05-28'),
('820401','cempaka','lia','2017-01-10'),
('347450','kenanga','nanda','2016-07-09'),
('307814','teratai','lia','2013-11-03'),
('226879','anggrek','nanda','2016-08-24'),
('859345','flamboyan','vina','2015-08-30'),
('825924','anggrek','nanda','2018-06-30'),
('753916','teratai','dewi','2016-02-12'),
('144144','mawar','vina','2013-04-20'),
('998095','cempaka','dewi','2011-03-01'),
('770793','lily','fajar','2016-03-31'),
('093961','teratai','indah','2023-11-04'),
('245244','bougenville','indah','2016-06-04'),
('703755','mawar','vina','2023-11-29'),
('137287','anggrek','wawan','2021-04-10'),
('165735','melati','vina','2011-08-07'),
('060800','bougenville','sari','2018-07-16'),
('584097','cempaka','sari','2023-06-30'),
('644191','melati','eka','2025-02-22'),
('788115','lily','mira','2025-02-03'),
('099269','anggrek','eka','2016-07-07'),
('657215','flamboyan','citra','2014-04-26'),
('231412','flamboyan','lia','2014-03-06'),
('430215','melati','tono','2017-12-27'),
('548244','flamboyan','kartika','2015-07-01'),
('694811','cempaka','joko','2017-05-20'),
('039306','kenanga','nanda','2024-04-02'),
('053400','kenanga','wawan','2020-06-07'),
('884305','anggrek','sari','2018-08-09'),
('244717','bougenville','tono','2020-09-21'),
('528236','kenanga','vina','2010-12-10'),
('809937','lily','tono','2016-03-29'),
('782286','bougenville','kartika','2015-08-31'),
('346917','kenanga','citra','2024-07-18'),
('094977','mawar','lia','2012-10-12'),
('346135','sakura','budi','2015-05-28'),
('118419','sakura','utami','2011-01-08'),
('685637','lily','dewi','2015-10-27'),
('092744','bougenville','tono','2010-01-20'),
('992261','mawar','citra','2023-03-20'),
('864959','kenanga','gita','2020-02-17'),
('501545','sakura','fajar','2010-02-11'),
('669761','bougenville','eka','2010-09-24'),
('416175','sakura','vina','2011-11-22'),
('192786','cempaka','rudi','2010-12-31'),
('212964','mawar','fajar','2015-04-21'),
('894026','anggrek','eka','2013-04-11'),
('366266','anggrek','gita','2024-06-01'),
('007713','lily','wawan','2012-11-05'),
('870432','mawar','joko','2011-03-16'),
('097663','kenanga','mira','2017-07-08'),
('850105','flamboyan','sari','2016-12-16'),
('102688','cempaka','sari','2018-09-04'),
('350413','teratai','tono','2017-06-14'),
('122929','sakura','kartika','2012-03-30'),
('401994','lily','sari','2021-04-25'),
('086078','cempaka','rudi','2017-12-12'),
('247365','melati','rudi','2010-05-10'),
('419896','flamboyan','joko','2021-06-05'),
('926557','mawar','lia','2022-12-18'),
('090010','lily','sari','2023-12-07'),
('635385','flamboyan','eka','2013-10-13'),
('814535','cempaka','kartika','2016-10-19'),
('420798','kenanga','gita','2022-05-12'),
('896924','sakura','indah','2011-12-11'),
('048935','sakura','rudi','2013-05-03'),
('168388','mawar','utami','2014-05-03'),
('254281','melati','eka','2012-01-07'),
('548006','flamboyan','eka','2013-01-24'),
('838697','kenanga','dewi','2016-02-28'),
('271462','lily','sari','2011-03-12'),
('948207','sakura','indah','2019-08-26'),
('033485','bougenville','tono','2016-08-01'),
('326562','cempaka','eka','2012-05-16'),
('307999','cempaka','sari','2011-12-10'),
('268916','bougenville','indah','2020-11-10'),
('759913','melati','citra','2024-03-17'),
('359705','sakura','fajar','2025-07-14'),
('907908','flamboyan','sari','2025-03-11'),
('123558','cempaka','lia','2018-04-03'),
('788831','melati','nanda','2018-10-30'),
('235187','anggrek','ayu','2016-10-21'),
('048795','flamboyan','vina','2022-07-01'),
('033110','kenanga','tono','2023-02-17'),
('693435','flamboyan','ayu','2015-07-01'),
('130797','kenanga','indah','2025-02-10'),
('911171','mawar','nanda','2018-06-26'),
('396676','kenanga','wawan','2023-06-23'),
('627710','melati','tono','2014-09-07'),
('933852','cempaka','joko','2012-02-02'),
('190801','anggrek','wawan','2011-05-15'),
('859659','sakura','nanda','2021-04-19'),
('484179','melati','wawan','2012-04-12'),
('423984','kenanga','utami','2024-09-23'),
('506057','cempaka','tono','2019-08-22'),
('928886','sakura','rudi','2022-03-27'),
('739169','sakura','fajar','2014-09-07'),
('771733','anggrek','mira','2012-04-19'),
('280227','anggrek','indah','2021-11-11'),
('118939','lily','dewi','2023-09-02'),
('097522','cempaka','gita','2012-11-05'),
('087513','cempaka','wawan','2013-03-09'),
('812939','anggrek','joko','2016-10-20'),
('801475','anggrek','joko','2014-12-29'),
('723032','lily','tono','2014-03-13'),
('630910','sakura','eka','2016-08-17'),
('252139','flamboyan','wawan','2011-09-05'),
('953250','anggrek','gita','2023-08-03'),
('243119','cempaka','lia','2021-05-10'),
('369947','cempaka','ayu','2014-07-29'),
('025196','mawar','wawan','2020-10-27'),
('212894','melati','indah','2018-02-25'),
('863152','cempaka','indah','2010-02-17'),
('252783','sakura','gita','2025-05-08'),
('783263','melati','sari','2015-11-19'),
('278557','lily','wawan','2017-11-18'),
('905500','anggrek','eka','2020-02-14'),
('436744','sakura','sari','2017-04-07'),
('740993','lily','citra','2022-03-28'),
('561558','bougenville','nanda','2012-05-20'),
('434330','melati','wawan','2025-02-16'),
('259475','mawar','kartika','2010-06-04'),
('667148','sakura','citra','2019-10-29'),
('372833','sakura','eka','2021-04-09'),
('264950','bougenville','joko','2022-11-05'),
('993583','kenanga','mira','2019-03-26'),
('095045','kenanga','ayu','2014-01-22'),
('584549','anggrek','nanda','2017-05-05'),
('933973','cempaka','fajar','2013-12-26'),
('624500','anggrek','fajar','2025-04-22'),
('013920','lily','kartika','2020-10-11'),
('315273','cempaka','utami','2012-06-15'),
('216105','melati','lia','2019-05-01'),
('668833','anggrek','citra','2013-12-06'),
('802413','cempaka','joko','2021-04-14'),
('096980','cempaka','dewi','2012-08-03'),
('885725','sakura','indah','2016-07-07'),
('589146','sakura','fajar','2019-02-26'),
('919229','sakura','indah','2011-01-11'),
('087920','kenanga','ayu','2017-04-29'),
('891619','lily','rudi','2013-01-27'),
('879161','kenanga','nanda','2021-03-18'),
('978339','bougenville','utami','2023-02-26'),
('714421','flamboyan','eka','2020-03-10'),
('825086','lily','tono','2021-05-31'),
('469485','kenanga','sari','2014-01-31'),
('152871','bougenville','ayu','2013-05-03'),
('120522','sakura','ayu','2013-04-19'),
('718487','lily','rudi','2014-08-03'),
('054962','lily','vina','2012-09-01'),
('420982','anggrek','dewi','2011-06-19'),
('709068','cempaka','nanda','2014-09-19'),
('797581','lily','gita','2021-06-13'),
('690291','mawar','nanda','2016-11-28'),
('538589','cempaka','dewi','2022-12-25'),
('366058','lily','utami','2017-05-31'),
('087824','kenanga','indah','2019-10-12'),
('959879','lily','sari','2022-11-27'),
('995543','anggrek','kartika','2015-01-11'),
('543814','sakura','dewi','2023-12-16'),
('050260','cempaka','utami','2015-08-04'),
('192004','flamboyan','rudi','2017-07-21'),
('926888','cempaka','rudi','2014-12-10'),
('674207','cempaka','fajar','2019-03-26'),
('589655','lily','eka','2011-11-17'),
('058432','teratai','sari','2025-03-24'),
('643485','anggrek','budi','2023-08-12'),
('432808','flamboyan','hendra','2017-06-06'),
('416634','mawar','mira','2025-02-20'),
('523888','lily','joko','2015-11-15'),
('223923','sakura','hendra','2012-07-28'),
('442393','flamboyan','citra','2025-10-26'),
('109638','cempaka','mira','2013-07-03'),
('474654','kenanga','sari','2011-05-06'),
('323671','anggrek','dewi','2023-04-17'),
('085040','anggrek','citra','2024-03-06'),
('802865','kenanga','joko','2020-06-24'),
('470711','teratai','mira','2017-01-23'),
('878224','cempaka','tono','2010-12-28'),
('077960','cempaka','indah','2010-06-23'),
('760863','sakura','joko','2023-01-17'),
('787484','kenanga','lia','2010-11-12'),
('116903','sakura','sari','2013-02-24'),
('662838','kenanga','nanda','2017-06-03'),
('043762','bougenville','kartika','2010-02-25'),
('590183','bougenville','kartika','2011-11-05'),
('100522','sakura','ayu','2022-02-28'),
('506658','cempaka','citra','2017-11-02'),
('479669','cempaka','gita','2023-07-01'),
('460118','mawar','tono','2016-02-27'),
('096340','sakura','lia','2011-11-16'),
('183994','sakura','budi','2017-06-30'),
('088042','anggrek','sari','2023-02-05'),
('010521','lily','rudi','2013-01-10'),
('485813','melati','joko','2011-11-27'),
('006906','mawar','budi','2024-12-30'),
('440876','anggrek','lia','2014-05-08'),
('895524','teratai','kartika','2016-03-27'),
('936531','cempaka','indah','2014-10-15'),
('460975','kenanga','gita','2017-03-15'),
('561383','bougenville','dewi','2024-09-02'),
('564880','cempaka','ayu','2021-02-03'),
('165117','anggrek','vina','2015-03-02'),
('368116','lily','hendra','2016-10-17'),
('799459','kenanga','citra','2019-11-21'),
('285404','teratai','tono','2023-02-03'),
('748710','melati','wawan','2022-07-15'),
('174630','cempaka','dewi','2021-11-08'),
('786007','cempaka','vina','2024-10-29'),
('439050','teratai','citra','2018-11-23'),
('149217','flamboyan','lia','2024-08-29'),
