INSERT into tentor (id_tentor, nama_tentor, alamat_tentor, tanggal_t) VALUES
('857694','Vincent','Fotke Glen','23-3-1971'),
('513862','Carl','Puhoc Path','5-6-2000'),
('357568','Minerva','Kujet Key','21-11-1965'),
('589363','Madge','Ibnu Way','3-5-1976'),
('376204','Ronnie','Tebmod Manor','2-5-1972'),
('218242','Dylan','Egimi Highway','4-11-2002'),
('088960','Lucille','Wimi Circle','6-1-1981'),
('194011','Dale','Mudi Center','28-3-1963'),
('731687','Martin','Unuer Terrace','19-1-1993'),
('684494','Jackson','Famoj Boulevard','24-12-1972'),
('258357','Shane','Doze Court','7-10-1973'),
('531244','Chase','Oltef Glen','1-3-1990'),
('379366','Clifford','Sorub Avenue','16-8-1992'),
('662410','Warren','Forse Glen','15-1-1995'),
('197439','Rose','Bagsol Lane','9-6-1964'),
('739999','Eliza','Wuaf Square','8-10-2006'),
('597828','Tom','Danwej Junction','17-4-2002'),
('286495','Cory','Jojzin Highway','7-12-2000'),
('272251','Marvin','Kosuku Court','15-9-2007'),
('631945','Charles','Wela River','20-7-1991'),
('514247','Steve','Beleha Junction','16-2-1990'),
('570584','Edwin','Amome Street','11-9-1999'),
('945626','Randall','Pajmi Center','1-11-1970'),
('565492','Austin','Peppi Extension','17-7-1992'),
('530344','Fannie','Pibuz Park','14-2-1997'),
('175588','Sue','Redjuw Terrace','3-3-1976'),
('231862','Vera','Jikopi Junction','22-9-1966'),
('710759','Billy','Ovaev Park','1-9-2005'),
('969580','Fred','Velac Grove','19-11-1965'),
('056241','Amanda','Fiani Center','22-12-1965'),
('440266','Paul','Hagwi Street','13-9-1967'),
('956634','Emilie','Duvif Lane','14-3-1999'),
('476906','Isabel','Facu Way','26-10-1964'),
('967827','Emilie','Alpu Loop','19-8-1993'),
('957885','Leah','Hekpas Center','29-3-1985'),
('438681','Mitchell','Umhiw Path','5-6-1986'),
('027821','Julian','Cifa Grove','13-1-1966'),
('003626','Clayton','Bodor Parkway','18-8-2005'),
('131642','Craig','Jafzag Avenue','15-5-1965'),
('302584','Estella','Vetwe Grove','23-1-1981'),
('440769','Alma','Guspok Road','10-2-2000'),
('443961','Cora','Cugha Key','8-6-2002'),
('199141','Jean','Udubi Loop','26-9-1967'),
('136048','Addie','Tiato Mill','8-7-1962'),
('475253','Cynthia','Ohuj Heights','19-11-1968'),
('604588','Rodney','Avcut Terrace','22-9-1989'),
('605603','Jordan','Wople Park','6-11-1976'),
('746062','Sophia','Awkun Court','30-6-1994'),
('942472','Jackson','Dibuso Lane','4-6-1974'),
('269591','Helena','Wahaz Plaza','23-7-1980'),
('551976','Alfred','Omdom Square','5-3-2004'),
('667897','Adele','Gurmub Key','15-3-1960'),
('831214','Sara','Foza Grove','19-5-2007'),
('103345','Justin','Jemu Heights','25-3-1998'),
('025322','Winifred','Gecmeh Pike','29-5-1980'),
('674778','Lottie','Puvek Circle','4-3-1997'),
('247983','John','Geef Street','7-3-1994'),
('828170','Nora','Bekat Road','27-10-1970'),
('512414','Linnie','Gejov Heights','27-12-1975'),
('699424','Maggie','Edra Terrace','18-10-1968'),
('993802','Joe','Kobur Path','17-12-1981'),
('943112','Adam','Ovapu River','10-8-2001'),
('048115','Ola','Waku Path','15-1-1987'),
('010304','Rodney','Rurtu Drive','30-5-1978'),
('157660','Evan','Ragi Grove','23-7-1997'),
('325928','Alvin','Haveg Drive','29-12-1992'),
('058624','Claudia','Dufsor Place','10-3-1965'),
('479176','Elnora','Hesi Way','31-12-1961'),
('911359','Essie','Fefru Glen','20-5-1991'),
('591731','Ronald','Jaeve Avenue','21-1-1996'),
('013377','Isabel','Wara Extension','15-6-1992'),
('724545','Genevieve','Hiuz Road','29-12-1989'),
('515658','Jon','Ahewu Court','13-2-1966'),
('099101','Virgie','Cive View','6-4-1960'),
('714324','Sue','Zoho Trail','27-12-1977'),
('367105','Martha','Keuv Mill','31-1-1983'),
('095052','David','Evore Manor','11-7-1970'),
('851161','Claudia','Pufev Turnpike','9-7-1983'),
('473349','Marc','Lisda Point','25-6-2000'),
('274567','Mary','Vovpek Pass','31-7-1989'),
('376434','Frances','Enuce Pass','21-11-1963'),
('337508','Joseph','Sofude Square','25-7-1990'),
('327448','Marvin','Utiak Court','17-8-1973'),
('143309','Emma','Eleaje Court','29-11-1964'),
('885078','Fanny','Dobu Park','23-2-1979'),
('719231','Bobby','Hacu Place','2-8-1983'),
('330326','Oscar','Bivhe Grove','13-5-2001'),
('646831','Cora','Nasuf Key','10-5-1972'),
('231680','Harvey','Kamviz Glen','18-4-1997'),
('138409','Tony','Zokve Point','3-8-1968'),
('043058','Milton','Mouko Pike','1-1-1961'),
('218083','Bertha','Pode Drive','8-1-1974'),
('560184','Nelle','Lewwi Extension','14-4-1975'),
('985183','Alan','Ohvib Pike','30-6-1986'),
('932930','Devin','Touz Key','14-7-1990'),
('262888','Harriet','Mawna View','28-5-1974'),
('640497','Francis','Dihod River','1-9-2007'),
('505689','Lucille','Aluti Grove','30-1-1986'),
('263749','Ricardo','Bowni Center','26-3-1995'),
('773265','Sam','Jeana Street','28-3-1988'),
('166318','Angel','Elidu Path','30-5-1967'),
('556598','Julia','Bojaz Pike','21-10-1967'),
('124007','Loretta','Hacilo Center','8-12-1979'),
('620802','Elsie','Cuwi Mill','28-3-1961'),
('287069','Landon','Biva Way','12-11-1976'),
('358257','Trevor','Jiih Turnpike','26-7-1983'),
('227593','Clarence','Juzun River','2-8-1972'),
('961010','Harry','Polo Drive','5-7-1986'),
('330074','Joel','Avaej Ridge','1-10-2002'),
('780320','Eva','Videw Extension','11-8-1980'),
('235933','Jeremy','Kidos Heights','27-4-2000'),
('841768','Mina','Ceswac Glen','26-10-1960'),
('363941','Rebecca','Zodcap Court','26-2-1979'),
('182266','Madge','Ulno Point','19-12-1994'),
('051772','Lester','Ketar Way','19-4-1979'),
('448798','Jane','Hegi Avenue','6-4-1987'),
('623298','Thomas','Imlat Trail','1-4-1998'),
('185986','Allie','Enrit Junction','14-6-1973'),
('258543','Tillie','Erku Manor','25-10-1974'),
('499682','Vernon','Gius Mill','30-11-1966'),
('269596','Daniel','Etiko Boulevard','17-6-1993'),
('638430','Austin','Nabda Glen','25-5-2003'),
('291599','Elizabeth','Lacu Road','24-12-1992'),
('475791','Tillie','Penzu Way','11-3-1966'),
('683488','Theresa','Zoot Place','9-3-1962'),
('765262','Frances','Meluf Drive','12-6-1972'),
('177908','Myrtie','Rowce Point','8-12-1980'),
('019672','Hulda','Ipopu Key','16-9-1973'),
('734302','Sara','Gizi Center','16-4-1980'),
('953540','Rodney','Vuwbo Parkway','27-8-1990'),
('090633','Dominic','Jubed Court','14-8-2000'),
('666547','Alma','Ciere Plaza','13-11-1962'),
('112829','Timothy','Ubpad Junction','6-4-1962'),
('416066','Katharine','Peepa Glen','27-2-1965'),
('322343','Rebecca','Fozma Grove','14-3-1973'),
('520666','Marvin','Zukge Trail','20-12-1970'),
('696431','Bettie','Maduc Grove','2-6-1970'),
('128011','Agnes','Vosos Junction','3-8-1979'),
('501657','Elijah','Zeren Avenue','1-7-1972'),
('208343','Maude','Gotaki Place','24-3-2000'),
('773436','Mike','Puded Point','11-9-1995'),
('263178','Samuel','Bukgos Lane','8-4-1988'),
('754257','Allen','Fobec Court','5-8-2004'),
('772079','James','Nibu Highway','27-6-1968'),
('407903','Rosie','Aciviw Parkway','13-3-1981'),
('792642','Cora','Vupa Mill','10-2-1961'),
('719091','Lou','Wejas View','5-11-2006'),
('483246','Carl','Winbaj Highway','3-1-1964'),
('425561','Larry','Edaju Parkway','13-7-1982'),
('200410','Sophia','Ifnas Loop','1-3-1995'),
('995202','Dean','Dowemi Avenue','29-7-1964'),
('080061','Kevin','Kirvir Trail','8-6-1961'),
('248017','Jerry','Rapca Heights','9-1-1962'),
('066806','Helena','Cahin Point','26-11-1970'),
('512785','Glenn','Niopa Circle','15-8-1981'),
('066238','Nelle','Gumeka Lane','9-10-1962'),
('441635','Christian','Riceg Pass','13-9-1966'),
('178777','Eva','Buce Loop','14-3-1986'),
('416180','Lucas','Ruje View','13-10-1994'),
('437939','Stephen','Akkib River','13-10-1990'),
('423182','Etta','Jijken River','17-4-2005'),
('888098','Leona','Nieci Park','14-2-1965'),
('052490','Callie','Nopsun Circle','22-5-1992'),
('406257','Helena','Emite Glen','23-2-1987'),
('784611','Angel','Ruwi Grove','22-4-1965'),
('660307','Hunter','Fegso Loop','12-3-1984'),
('857881','Sylvia','Hojuj Key','13-7-1965'),
('973377','Nicholas','Tood River','22-2-2007'),
('715984','Claudia','Borke Mill','6-5-1992'),
('692151','Jeff','Cafves Path','16-5-2003'),
('072532','Olive','Rado Drive','4-5-1979'),
('638111','Micheal','Woma Circle','13-4-2001'),
('862020','Benjamin','Lemih River','20-12-2006'),
('312442','Kevin','Wulge Avenue','6-10-1989'),
('333112','Belle','Turo Pike','11-3-1982'),
('855985','Florence','Felo Key','25-1-1986'),
('310348','Birdie','Samgid Key','24-3-1962'),
('702469','Keith','Evpu Mill','5-7-1976'),
('275193','Joel','Fuszu Key','5-7-1962'),
('636579','Todd','Fobbo Grove','22-7-1967'),
('548372','Francis','Fimak Avenue','10-9-1968'),
('976481','Dora','Mehkor River','16-5-1987'),
('612366','Connor','Bajroj Junction','15-7-1978'),
('626121','Phillip','Vasu Glen','18-8-1993'),
('919229','Ollie','Fekwin Court','8-6-1960'),
('077780','Timothy','Hisoco Avenue','6-7-1976'),
('870626','Ruth','Aspe Way','20-2-1983'),
('923087','Sophia','Joglot Road','28-10-1963'),
('387211','Florence','Vapli Turnpike','5-12-1977'),
('197033','Edwin','Akeik Point','27-9-1984'),
('803991','Sam','Doaka Lane','22-4-1988'),
('071900','Cory','Agoger Point','11-11-1979'),
('248280','Hester','Huwu Turnpike','12-5-1968'),
('556176','Hattie','Varag View','16-1-1982'),
('304507','Oscar','Ridtab Junction','24-2-1960'),
('858185','Genevieve','Girda Turnpike','26-8-2005'),
('733084','Lillie','Egihen Loop','26-2-1981'),
('867361','Ella','Jukar Ridge','26-7-1993'),
('126591','Lucinda','Wubpi Way','5-5-1960'),
('711801','Chris','Mowon Lane','7-7-1987'),
('015090','Elnora','Kufuw Court','30-9-2005'),
('079856','Jacob','Cegpe Manor','8-4-1996'),
('104732','Olga','Nuof Key','16-11-2007'),
('505322','Charlotte','Maji Trail','3-3-1963'),
('288255','Adeline','Punozi Mill','19-3-1992'),
('917281','Charlotte','Wezir Court','14-12-1961'),
('869890','Travis','Kiow Lane','11-7-1991'),
('125156','Jesus','Ubpuz Avenue','1-10-1998'),
('209132','Cornelia','Buvo Loop','2-5-1976'),
('444605','Angel','Bijdal Highway','23-12-1993'),
('236121','Stanley','Pecfaj Park','20-8-1977'),
('050188','Ernest','Unise Heights','19-1-1997'),
('605470','Gertrude','Tausa Plaza','22-6-2000'),
('828324','Cameron','Heiwe Turnpike','13-9-1970'),
('122880','Alex','Jefiz Extension','5-10-1967'),
('791144','Alta','Leew Way','24-11-2007'),
('278126','Marc','Corke Highway','15-2-1999'),
('093270','Lulu','Ijil Point','23-12-1973'),
('966349','Katharine','Onbez Road','30-6-1981'),
('604536','Micheal','Cacew Highway','9-5-1972'),
('083639','Olivia','Zedebo View','19-7-1966'),
('187135','Francis','Gucbef Manor','30-11-1988'),
('647617','Callie','Najeg Street','23-10-2005'),
('787577','Violet','Iroeso Ridge','27-3-1997'),
('534951','May','Hetlo Court','23-8-1976'),
('506587','Tillie','Wuhi Mill','11-1-1974'),
('370415','Sally','Jerog Path','1-1-1964'),
('345554','Katherine','Iguos Parkway','1-12-1970'),
('928441','Warren','Zahki Center','8-7-1993'),
('043842','Nelle','Cefwit Ridge','18-3-1999'),
('827451','Pauline','Avougo River','29-10-2007'),
('456675','Viola','Hetno Path','5-8-1973'),
('198391','Ola','Epke Point','23-4-1991'),
('776344','Jon','Bomi Parkway','15-6-1973'),
('674791','Florence','Muna Manor','14-11-1976'),
('194442','Eugene','Tovwot Pass','9-7-1970'),
('092700','Laura','Hobgo Road','4-1-1976'),
('871960','Lee','Ilwow Place','6-7-1990'),
('167632','Jessie','Rami Park','20-9-2002'),
('243968','Patrick','Lumdu Ridge','9-12-1993'),
('414894','Lena','Kewu Key','3-10-1978'),
('049187','Jesus','Dunoc Extension','27-3-1976'),
('028695','Willie','Mueke Square','6-9-2004'),
('542613','Hilda','Caja Trail','12-4-1965'),
('899759','Ethan','Ozivow Ridge','26-7-1972'),
('965841','Leila','Radra Turnpike','21-8-1999'),
('716400','Amy','Japhav Road','23-2-1991'),
('631141','Jeanette','Accu Point','9-10-1994'),
('315541','Steven','Loco Loop','10-8-1961'),
('727999','Randy','Suldil Key','1-7-1976'),
('725219','Emma','Lujo Heights','19-4-1986'),
('926820','Harry','Casde Terrace','6-5-2007'),
('796611','Roxie','Soppas Plaza','23-9-1997'),
('027051','Cynthia','Veduf River','20-1-1970'),
('873354','Ellen','Nuoba Road','21-12-2005'),
('605241','Cory','Sedow Place','30-7-1990'),
('641771','Sadie','Ubanas Mill','23-2-1992'),
('211963','Emilie','Zegjof Drive','16-9-1979'),
('041747','Cora','Kowa Avenue','13-8-2004'),
('326107','Tom','Notza Mill','2-10-1986'),
('293707','Ina','Mabvo Avenue','4-3-1978'),
('242534','Effie','Riliz Key','27-4-1961'),
('757753','Essie','Feup Road','5-10-2004'),
('546280','Maud','Gopul Mill','27-2-1972'),
('228446','Richard','Robe Lane','30-8-2005'),
('900392','Madge','Upuiw Turnpike','5-6-1998'),
('143673','Brian','Larjod Road','18-5-1983'),
('366420','Leah','Uvotew Heights','20-2-1996'),
('617670','Vernon','Jili Circle','19-4-1978'),
('179523','Myrtle','Zudziw Square','5-4-1971'),
('649318','Amelia','Uttad Junction','13-1-1980'),
('442741','Evan','Dacuv Square','11-10-1973'),
('452475','Jayden','Ditsu Way','20-8-1984'),
('320993','Tony','Gugpuc Avenue','12-6-1963'),
('756345','Cole','Oweil Manor','18-12-1981'),
('989036','Jay','Ufuwin Grove','26-3-1995'),
('490517','Marguerite','Anko Extension','25-9-1994'),
('967855','Jay','Mitku Lane','29-6-1985'),
('841269','Esther','Hugoc Parkway','19-11-1997'),
('069430','Jonathan','Dugwag River','17-10-2006'),
('301087','Nicholas','Apozu Park','9-4-1986'),
('745926','Josephine','Ilji Square','11-5-1994'),
('297289','Nettie','Worhu Manor','30-4-1977'),
('125339','Paul','Mines Manor','19-7-1967'),
('517300','Raymond','Forit Path','24-3-2002'),
('085285','Cora','Mohen Junction','23-11-1976'),
('897129','Ola','Nuit Extension','14-10-2001'),
('892511','Jeffery','Rensa Heights','23-9-1988'),
('554633','Barbara','Ribok Turnpike','9-6-1992'),
('294483','Leona','Cokef Ridge','10-10-1991'),
('913036','Myrtle','Muico Lane','27-3-1988'),
('934828','Carlos','Azeki Grove','11-2-1980'),
('567945','Todd','Rutu Glen','15-12-1976'),
('635627','Elmer','Sahgis Parkway','11-6-1984'),
('883549','Clarence','Wivtu Point','15-6-1989'),
('330499','Tillie','Siugi Point','23-8-1988'),
('336772','Aaron','Esefa Manor','10-6-1963'),
('762536','Hester','Fitva Way','9-1-1961'),
('908818','Hilda','Gemza Path','3-9-1969'),
('944580','Ruth','Sahol Junction','24-5-1983'),
('558090','Jordan','Hagu Drive','16-2-1995'),
('310850','Minerva','Jehas Pass','17-4-1982'),
('044301','Edgar','Cajci Loop','23-11-1993'),
('562389','Frank','Nottaz Court','9-10-1973'),
('308064','Florence','Kabic Terrace','10-3-1971'),
('804996','Lillie','Jedle Pass','20-12-1960'),
('682854','Fannie','Wizno Street','17-2-1977'),
('434942','Maud','Avate River','9-3-1990'),
('311999','Eliza','Vuvuh Park','19-8-1971'),
('439869','Walter','Limah Pass','1-12-1966'),
('901319','Joel','Ibovu Street','22-10-2006'),
('351896','Justin','Zuso Terrace','25-6-1989'),
('616908','Eugene','Onve Terrace','24-4-1981'),
('606007','Dorothy','Itawu Key','1-9-1979'),
('345483','Benjamin','Ahanud Drive','22-4-1990'),
('577851','Birdie','Udefa Mill','18-11-1979'),
('297444','Louise','Iglun Manor','12-12-1998'),
('646383','Lucille','Ujobef Road','13-3-2002'),
('543650','Luella','Neza Manor','18-1-1971'),
('889862','Jerome','Fote Heights','24-2-1987'),
('651067','Chad','Nawku Terrace','15-4-1973'),
('789341','Owen','Bipec Pass','7-10-1983'),
('957560','Ruth','Kojmim Trail','29-12-1975'),
('198817','Frances','Boghil Terrace','3-3-1998'),
('237322','Maria','Enda Ridge','17-10-1997'),
('403219','Evelyn','Nehmaj Trail','27-3-1969'),
('399625','Eleanor','Bodli Turnpike','21-2-2007'),
('789809','Dorothy','Seja Lane','16-10-2004'),
('900678','Carolyn','Sate Path','19-12-2000'),
('375547','Frank','Racluv Pike','9-4-1965'),
('925087','Shane','Mambi Road','7-12-2006'),
('774054','Eula','Dipu View','1-3-1993'),
('984655','Alan','Owme River','10-8-1982'),
('151990','Kevin','Uzihe Extension','14-4-2002'),
('991760','Eugene','Wuti Avenue','3-12-2004'),
('425781','Caleb','Deka Glen','24-7-2003'),
('021001','Patrick','Luda Pike','22-9-1991'),
('702905','John','Gezop Court','5-2-1982'),
('452461','Todd','Fejum Avenue','13-5-1975'),
('078435','Amelia','Celuna Drive','19-5-1961'),
('049400','Lora','Poigo Plaza','17-2-1998'),
('314588','Ricardo','Ejudum Plaza','20-9-1985'),
('948676','Tom','Zohah Plaza','30-6-1990'),
('513173','Genevieve','Waafa Circle','16-5-2003'),
('185432','Daniel','Rada Place','14-4-1984'),
('839925','Bruce','Upilo Terrace','26-10-1990'),
('831846','Jayden','Ucsik Center','22-1-1976'),
('903576','Vera','Riwov Plaza','30-3-2001'),
('240533','Hallie','Hebeh Circle','15-2-1962'),
('670802','Vera','Niguv Manor','12-7-2004'),
('752478','Joe','Raju Junction','28-4-1993'),
('672478','Tom','Uzoju Extension','15-4-1994'),
('796975','Jeffery','Vole Point','11-1-2001'),
('137119','Donald','Pojpi Way','5-1-1999'),
('867795','Anne','Jalo Glen','20-7-1988'),
('237732','Lou','Ozaud Glen','17-11-1977'),
('352492','Lela','Otaihu Boulevard','26-8-1977'),
('312318','Olive','Wosav Drive','23-4-1977'),
('995131','Mitchell','Imoze Point','21-10-1991'),
('038310','Dean','Ezuhu Parkway','17-7-1961'),
('941843','Elsie','Acru Manor','19-2-2001'),
('153409','Lina','Rovwus Pike','16-1-1976'),
('894057','Hannah','Jupegi Pike','19-1-1987'),
('044998','Roxie','Ibuvuk River','3-7-1988'),
('473254','Aaron','Avki Park','19-11-1974'),
('942573','Nellie','Itobo Road','16-10-1963'),
('060873','Sarah','Zurca Junction','13-9-1992'),
('222349','Joe','Zetan Loop','21-8-1984'),
('763698','Loretta','Udfe Trail','24-5-1960'),
('346748','Mike','Zunoc Place','3-1-1991'),
('944049','Luke','Razni Lane','2-5-1978'),
('548303','Lawrence','Samwar Heights','18-3-1984'),
('093847','Annie','Bahsaj Extension','27-3-1961'),
