INSERT into siswa (id_siswa, nama_siswa, tanggal_lahir, kelamin) VALUES
('563448','dewi','2015-09-26','L'),
('802827','hendra','2009-07-15','L'),
('456624','fajar','2013-05-07','L'),
('881346','putri','2009-07-05','L'),
('033873','budi','2013-06-26','P'),
('170420','rina','2008-05-03','L'),
('800317','budi','2008-11-19','P'),
('639522','putri','2013-11-01','P'),
('214107','joko','2012-01-10','L'),
('216239','dewi','2013-10-26','L'),
('201397','agus','2006-02-12','P'),
('085879','bayu','2013-12-26','L'),
('960645','mira','2012-12-30','L'),
('411139','yoga','2005-01-14','L'),
('928419','sari','2008-08-23','L'),
('105445','gita','2005-03-22','L'),
('587020','joko','2014-04-26','P'),
('788838','eka','2008-08-04','L'),
('296204','utami','2007-04-30','P'),
('820404','vina','2006-09-16','P'),
('831067','gita','2010-10-24','L'),
('313505','bayu','2008-05-10','P'),
('442080','hendra','2015-01-25','L'),
('113857','utami','2007-09-28','L'),
('605210','utami','2012-10-27','P'),
('933832','gita','2011-12-08','P'),
('956196','yoga','2006-07-26','L'),
('880662','wawan','2012-04-09','P'),
('049711','rizky','2006-09-01','P'),
('213209','utami','2006-10-13','L'),
('533691','rizky','2013-04-28','L'),
('364137','agus','2011-10-14','P'),
('401146','sari','2013-03-25','L'),
('960371','agus','2008-12-09','L'),
('737489','joko','2010-10-14','P'),
('574892','citra','2010-09-26','P'),
('401514','mira','2007-10-09','P'),
('080703','kartika','2007-02-22','P'),
('998033','ayu','2007-11-17','P'),
('127760','sinta','2009-05-17','P'),
('358831','vina','2015-10-28','L'),
('797942','dewi','2007-01-04','P'),
('640067','rudi','2015-11-07','L'),
('200962','wawan','2012-06-18','L'),
('049143','putri','2006-06-08','L'),
('809243','bayu','2008-04-22','P'),
('949707','kartika','2006-07-30','L'),
('617793','fajar','2010-06-29','P'),
('560528','utami','2014-09-11','P'),
('707936','gita','2005-09-26','P'),
('909399','joko','2014-12-07','P'),
('496632','vina','2006-01-13','P'),
('684396','budi','2005-02-10','L'),
('794630','tono','2006-09-15','P'),
('168205','ayu','2012-09-22','P'),
('240119','citra','2010-07-16','P'),
('828621','rina','2012-11-26','P'),
('097332','indah','2005-06-06','L'),
('123057','joko','2013-12-22','L'),
('843298','yoga','2009-09-23','L'),
('271585','rizky','2008-12-12','P'),
('674253','kartika','2010-03-03','L'),
('387818','putri','2009-04-01','L'),
('583106','vina','2007-11-27','P'),
('205985','tono','2015-06-13','P'),
('175459','utami','2015-07-07','L'),
('840088','sari','2006-02-17','L'),
('861613','wawan','2010-04-12','P'),
('624578','nanda','2005-06-18','L'),
('534932','lia','2015-11-30','P'),
('192752','agus','2012-01-19','L'),
('837471','utami','2005-11-02','P'),
('561036','mira','2015-09-27','L'),
('475495','bayu','2008-07-11','L'),
('543056','sinta','2015-09-29','L'),
('027896','eka','2011-06-28','L'),
('581484','mira','2013-09-28','L'),
('391242','vina','2008-08-05','P'),
('648909','dewi','2013-04-20','P'),
('544069','joko','2008-11-08','P'),
('915551','wawan','2012-03-27','L'),
('143577','fajar','2006-08-02','P'),
('094746','zahra','2007-03-29','L'),
('390573','budi','2015-04-13','P'),
('707018','kartika','2012-05-10','L'),
('559255','rina','2012-03-07','P'),
('474396','putri','2014-08-29','P'),
('692536','hendra','2013-07-25','P'),
('996856','sinta','2011-01-11','P'),
('738145','sinta','2010-10-05','P'),
('230099','vina','2005-08-27','P'),
('837223','farah','2014-03-18','L'),
('273530','ayu','2011-06-16','P'),
('094178','lia','2008-03-27','L'),
('166846','farah','2014-05-17','P'),
('469011','mira','2013-12-26','P'),
('908667','vina','2007-03-29','L'),
('669527','indah','2006-07-02','L'),
('664187','wawan','2009-09-30','L'),
('679807','lutfi','2012-06-21','P'),
('863315','utami','2009-12-08','P'),
('267307','putri','2010-08-02','P'),
('811556','citra','2013-11-23','L'),
('654578','ayu','2005-09-20','L'),
('155241','kartika','2014-07-21','L'),
('389641','indah','2010-11-14','P'),
('374404','nanda','2013-03-23','L'),
('508629','kartika','2011-12-30','P'),
('490008','indah','2012-08-16','L'),
('469864','kartika','2005-03-27','L'),
('689145','rina','2011-08-20','L'),
('364116','rizky','2010-02-15','P'),
('587090','sari','2015-08-29','P'),
('444801','zahra','2006-08-28','L'),
('655452','yoga','2013-08-25','P'),
('361539','farah','2005-12-08','L'),
('137685','lia','2005-10-28','L'),
('361881','sinta','2008-08-21','L'),
('395813','tono','2012-08-15','P'),
('545782','budi','2008-07-18','L'),
('664960','eka','2005-09-30','L'),
('134110','eka','2007-06-28','L'),
('175207','gita','2013-01-06','P'),
('642187','nanda','2015-05-25','L'),
('725442','agus','2015-11-21','L'),
('481460','rizky','2005-03-18','P'),
('835748','rina','2013-06-25','L'),
('909837','lutfi','2013-09-29','P'),
('454052','kartika','2008-05-26','L'),
('338975','gita','2015-10-22','P'),
('297254','sinta','2009-03-07','P'),
('565969','gita','2014-06-27','P'),
('331537','hendra','2007-03-16','L'),
('224449','citra','2008-07-20','L'),
('986298','bayu','2014-09-26','P'),
('693194','wawan','2012-10-04','L'),
('905226','mira','2010-03-26','L'),
('921144','yoga','2015-04-28','P'),
('853046','putri','2014-07-10','L'),
('081830','rina','2011-04-03','L'),
('169995','eka','2005-01-14','P'),
('640719','nanda','2009-12-17','L'),
('727817','putri','2005-08-25','L'),
('984247','fajar','2009-04-10','L'),
('270475','yoga','2010-04-02','P'),
('827117','hendra','2013-09-13','P'),
('512662','hendra','2010-04-13','P'),
('598000','agus','2011-12-15','P'),
('120023','putri','2014-06-04','P'),
('722062','agus','2014-04-25','L'),
('425277','wawan','2012-09-20','P'),
('560582','tono','2012-12-15','L'),
('556804','farah','2009-11-10','L'),
('422932','ayu','2012-11-19','P'),
('620758','lutfi','2011-07-17','P'),
('879988','citra','2009-10-18','P'),
('998007','sinta','2014-10-10','L'),
('323173','rudi','2007-06-13','P'),
('729552','citra','2008-02-18','P'),
('299095','rudi','2006-10-24','P'),
('200058','lutfi','2008-11-06','L'),
('088308','tono','2005-03-30','L'),
('347903','ayu','2014-07-23','P'),
('778885','sinta','2014-08-04','L'),
('386540','citra','2008-03-07','P'),
('132033','farah','2015-11-28','L'),
('615396','lia','2007-10-26','P'),
('063378','lia','2014-04-11','L'),
('982818','citra','2012-06-21','P'),
('318589','zahra','2007-09-26','P'),
('441289','ayu','2010-04-11','L'),
('512106','kartika','2007-11-17','L'),
('724149','budi','2008-07-17','P'),
('473119','rudi','2010-09-02','P'),
('458363','rizky','2007-08-15','P'),
('710963','yoga','2013-01-31','P'),
('089733','dewi','2007-11-06','L'),
('981469','nanda','2015-02-03','P'),
('542786','lutfi','2006-11-18','P'),
('350432','eka','2013-02-17','P'),
('778277','bayu','2009-08-08','P'),
('163576','wawan','2012-08-01','L'),
('745013','rizky','2011-10-23','L'),
('387891','vina','2010-03-16','L'),
('390587','rina','2009-11-29','P'),
('665547','dewi','2010-06-20','P'),
('360579','dewi','2005-11-28','L'),
('348262','zahra','2006-09-26','P'),
('292416','hendra','2014-02-10','L'),
('441210','fajar','2013-07-24','L'),
('581916','fajar','2006-07-24','P'),
('407327','hendra','2009-04-27','L'),
('167841','indah','2008-12-26','P'),
('544625','eka','2008-11-14','L'),
('516293','farah','2005-04-29','L'),
('907152','eka','2009-12-07','P'),
('288474','vina','2010-11-20','P'),
('242712','rudi','2009-07-25','L'),
('876465','joko','2006-10-29','L'),
('724233','rizky','2013-11-20','P'),
('195572','zahra','2006-10-13','P'),
('707804','dewi','2007-04-20','P'),
('672848','zahra','2014-12-21','L'),
('639216','farah','2007-08-02','L'),
('666443','rizky','2014-04-11','P'),
('927595','zahra','2010-01-17','L'),
('468904','wawan','2011-08-06','P'),
('276278','rudi','2006-03-22','L'),
('896527','hendra','2006-08-21','L'),
('659376','dewi','2011-10-01','L'),
('795917','joko','2010-02-17','P'),
('139481','kartika','2011-11-05','P'),
('557812','fajar','2011-08-07','P'),
('976176','sinta','2011-01-11','P'),
('892137','ayu','2014-08-24','P'),
('925641','wawan','2014-07-21','P'),
('393232','lia','2010-10-06','L'),
('618918','citra','2014-08-20','P'),
('157463','farah','2006-01-08','L'),
('961536','tono','2011-10-20','P'),
('604142','budi','2008-10-05','L'),
('595998','mira','2006-06-22','L'),
('743609','utami','2012-04-20','L'),
('332063','bayu','2008-10-01','P'),
('477364','nanda','2010-05-15','L'),
('916821','eka','2007-09-04','P'),
('163967','mira','2014-09-17','L'),
('263338','yoga','2013-08-04','P'),
('367839','utami','2010-11-26','L'),
('732452','eka','2010-10-08','L'),
('763903','bayu','2012-04-23','P'),
('258903','joko','2007-05-09','L'),
('034601','rizky','2005-11-20','L'),
('581310','vina','2009-10-27','P'),
('902805','putri','2013-07-10','P'),
('879227','joko','2009-12-20','L'),
('250964','sari','2013-10-10','L'),
('569688','sinta','2014-07-23','P'),
('264856','zahra','2011-03-20','L'),
('615544','wawan','2011-09-16','P'),
('488861','indah','2010-11-19','L'),
('941349','gita','2011-05-17','L'),
('033325','kartika','2008-03-15','P'),
('657891','dewi','2007-01-02','P'),
('600124','indah','2015-07-24','L'),
('388233','utami','2013-08-17','L'),
('476142','indah','2008-01-04','P'),
('453378','bayu','2014-05-01','P'),
('231613','utami','2015-07-12','L'),
('559440','mira','2010-10-24','P'),
('275999','farah','2008-01-20','P'),
('361603','citra','2014-03-15','L'),
('149557','wawan','2015-05-10','L'),
('162500','sari','2005-04-07','P'),
('636562','ayu','2012-09-05','P'),
('141189','zahra','2010-09-15','P'),
('575872','lutfi','2011-06-18','L'),
('703431','lutfi','2011-03-13','L'),
('445538','putri','2012-10-25','L'),
('207963','wawan','2005-01-16','L'),
('750848','kartika','2005-03-28','L'),
('090607','hendra','2011-01-07','P'),
('456979','budi','2007-05-24','L'),
('337685','eka','2006-06-09','P'),
('536675','vina','2015-06-02','P'),
('543336','nanda','2015-02-19','L'),
('187870','joko','2015-03-21','L'),
('405077','lia','2015-06-30','P'),
('888954','lutfi','2013-09-10','P'),
('315053','ayu','2011-07-02','P'),
('894903','fajar','2011-11-12','L'),
('047102','nanda','2015-04-03','L'),
('501577','eka','2015-07-08','L'),
('294409','agus','2012-12-14','P'),
('048782','fajar','2007-09-07','L'),
('939956','kartika','2010-07-23','L'),
('121552','vina','2010-01-03','P'),
('004599','budi','2012-02-26','L'),
('481773','mira','2012-03-18','L'),
('054115','joko','2009-10-09','L'),
('217789','farah','2015-10-14','P'),
('509765','vina','2014-02-07','P'),
('178276','wawan','2006-08-27','L'),
('544630','lutfi','2011-07-22','P'),
('773430','putri','2012-07-29','P'),
('928672','rina','2007-05-29','P'),
('943381','gita','2013-09-07','P'),
('974492','yoga','2005-04-27','P'),
('674102','hendra','2015-04-18','L'),
('485266','joko','2014-08-12','P'),
('002292','sinta','2010-10-23','L'),
('259184','ayu','2012-12-02','L'),
('926985','indah','2007-09-10','L'),
('858166','gita','2015-02-16','L'),
('646017','utami','2008-02-13','L'),
('689993','rudi','2009-06-18','L'),
('875106','vina','2008-09-28','P'),
('613220','kartika','2010-07-23','L'),
('584765','bayu','2005-11-05','L'),
('956837','eka','2015-02-18','L'),
('879016','sari','2007-04-20','L'),
('821968','tono','2011-10-02','P'),
('385035','wawan','2013-12-12','L'),
('835602','lia','2007-09-26','P'),
('801071','rizky','2011-12-09','P'),
('689046','citra','2013-11-18','P'),
('884564','yoga','2015-08-17','L'),
('628582','indah','2008-07-07','P'),
('466893','joko','2007-11-14','L'),
('174569','sari','2012-04-24','P'),
('501792','yoga','2005-01-18','P'),
('018308','rudi','2009-08-22','L'),
('266570','tono','2014-08-27','L'),
('580275','sari','2010-08-13','L'),
('203925','rizky','2008-09-01','L'),
('361325','budi','2013-08-11','P'),
('090559','zahra','2008-09-29','L'),
('305653','eka','2008-02-10','L'),
('435607','lia','2013-05-21','P'),
('949358','joko','2005-11-07','P'),
('986616','farah','2010-06-18','P'),
('474461','rina','2015-02-14','L'),
('173832','kartika','2015-01-13','L'),
('175470','joko','2007-03-24','P'),
('199885','hendra','2013-08-08','L'),
('837736','indah','2008-01-02','P'),
('190117','sari','2014-04-12','L'),
('812138','tono','2013-11-26','L'),
('357745','ayu','2006-10-13','L'),
('234082','citra','2006-06-19','L'),
('755998','rina','2008-04-19','L'),
('266005','lutfi','2007-02-17','L'),
('561282','citra','2012-06-15','P'),
('845732','ayu','2010-11-25','P'),
('840703','dewi','2013-06-04','P'),
('935127','lia','2014-09-17','L'),
('635955','dewi','2011-06-25','L'),
('458102','gita','2007-10-29','L'),
