INSERT INTO wali_siswa (nik, nama_w, alamat_w,tanggal_w) VALUES
('5153567805086220','Jackson Vasquez','Lican Parkway','2081-04-12'),
('6334992248400265','Chad Cobb','Jajbur Street','2096-03-27'),
('9123573209177307','Leah Wilkins','Bifjos Turnpike','2054-11-02'),
('9830428911362777','Ethan Flores','Rusbum Junction','2068-08-10'),
('9430347075350599','Leo Vega','Divo Court','2125-08-15'),
('5040103808121295','Max Wright','Puzer Pike','2125-06-30'),
('0149606633329529','Isaac Olson','Pukni Court','2035-02-25'),
('4841887072169526','Ronnie Stokes','Suiz Court','2093-04-13'),
('0684289689447437','Amelia Woods','Mefiv Avenue','2102-03-21'),
('7200554544911486','Ollie Moran','Lopwin Square','2078-01-16'),
('1690688926256976','Harriett Snyder','Ufun Square','2033-07-13'),
('5383174423394036','Roger Hart','Jubgo Park','2109-08-14'),
('5845619473061190','Jayden Sims','Daane Park','2053-05-03'),
('4867720525718058','Austin Bell','Jogsa Junction','2056-07-28'),
('8982125576441924','Vera Lucas','Fafe Pass','2066-07-18'),
('2795867714017349','Caleb Maldonado','Hina Heights','2042-07-14'),
('3447721570244399','Gabriel Russell','Kokav Highway','2053-01-20'),
('9770011428890799','Ricky Gilbert','Kanmek Point','2109-02-25'),
('2448296176241516','Gavin Harmon','Nisuv Trail','2067-01-17'),
('4282645569316313','Edward Hunt','Evaj Key','2086-02-25'),
('3127509003996672','Owen Watts','Vondu Trail','2055-01-16'),
('9701484216155021','Bess Parker','Zositi River','2104-05-04'),
('5819028865368945','Leila Swanson','Usezak Junction','2029-05-06'),
('5413241031152147','Troy Houston','Histom Pike','2118-03-31'),
('4308805320040268','Nelle Walters','Budgoj Key','2099-09-21'),
('7573957987222974','Seth Perez','Osiak Circle','2087-12-02'),
('3836536622588481','Abbie Greene','Utpug Heights','2028-03-14'),
('8896365006803405','Richard Daniels','Ivohes Circle','2046-06-14'),
('8304126873223445','Ryan Nguyen','Ludte Key','2033-09-16'),
('4130760078785036','Dora Tyler','Awzi Avenue','2050-04-07'),
('2361289027749373','Harold Tran','Edazon Way','2036-07-12'),
('0862170088249179','Clara Norman','Cohis Square','2028-02-08'),
('2944229623507598','Cameron Graham','Evojo Square','2079-05-08'),
('1927992727388804','Charlotte Cruz','Awnu Avenue','2034-01-01'),
('9210805674817097','Isabelle Lawson','Poruno Loop','2038-10-07'),
('9039023323746804','Ollie Bowers','Bogde Ridge','2066-09-05'),
('2086915082174656','Nancy Wolfe','Lojuv Glen','2048-01-06'),
('6789261298496746','Carolyn Palmer','Wiga Park','2124-10-01'),
('6429333351028336','Ida Miller','Tihi Court','2042-08-04'),
('4348865751835608','Rebecca Newman','Tecin Manor','2114-11-09'),
('0728292055044400','Mabel Owen','Mecmo Road','2060-11-28'),
('6473166711804264','Jean Gregory','Tiwpo Drive','2045-01-26'),
('4396025843749542','Katherine Gonzales','Kubu Avenue','2053-01-07'),
('8149273031082985','Dorothy Burgess','Fefor Heights','2108-12-12'),
('8957125968183229','Harold Brewer','Kazefe View','2080-12-17'),
('0824816883510448','Bess Lowe','Tosa Pass','2042-04-26'),
('4342825393744230','Estelle Rogers','Ofhid Circle','2105-06-23'),
('5599742752899747','Sophia Hoffman','Wawiv Boulevard','2058-07-06'),
('5158322028398372','Susan Hampton','Gamoj Court','2105-08-07'),
('5874618675140691','Lena Owens','Lipi Street','2052-11-09'),
('7347740384312659','Lee Ball','Jeti Place','2103-09-16'),
('7126346689744120','Chris Graves','Tampa Terrace','2039-12-20'),
('9339909318652761','Scott Ford','Goisa Mill','2093-11-04'),
('3920089293880938','Eleanor Keller','Sasi Extension','2083-02-01'),
('8659959314870745','Billy McGuire','Tumti Junction','2120-06-28'),
('7415934447340319','Cecelia Blair','Wonlan Ridge','2110-03-25'),
('9601116461905166','Jeffery Walters','Zusriz Lane','2063-02-04'),
('6907625948857924','Phillip Wheeler','Geworu Mill','2104-02-10'),
('5222181156647367','Frank Roy','Weres Ridge','2074-08-15'),
('0616432091177002','Brandon Casey','Vovod Turnpike','2055-07-02'),
('6829044042753141','Chris Bennett','Ewfa Grove','2070-03-18'),
('7134086557870636','Erik Moody','Lozes Place','2071-04-28'),
('1929003458444240','Sophia Mack','Zojma Circle','2037-09-07'),
('4454220534109264','Julia Newton','Ezacus Ridge','2038-05-11'),
('7248590502448538','Joshua Thompson','Vuve Point','2118-06-27'),
('5617851990309318','Mamie Anderson','Harcig Street','2068-02-22'),
('3553724498814641','Mattie Burke','Ulusa Junction','2082-12-28'),
('9128649117147607','Charles George','Segmu Circle','2032-09-06'),
('7439062763105947','Evan Mack','Ginnob Park','2085-09-24'),
('9889790208523331','Sean Roberson','Rime Glen','2083-01-27'),
('3092007044384366','Alexander Cole','Wilnod Glen','2061-03-17'),
('7974371873521849','Effie Saunders','Mugud Place','2113-05-21'),
('0172624367545696','Jonathan Nunez','Caah Extension','2053-05-26'),
('9310264936876433','Owen Kelly','Leta Loop','2102-10-03'),
('4239260258836604','Lenora Andrews','Holad Glen','2122-04-23'),
('4225330206698888','Abbie Osborne','Ohoih Boulevard','2091-10-09'),
('6945970477491049','Ricardo Owen','Vomu Junction','2103-07-20'),
('5283672095754466','Harry Luna','Zabci Trail','2068-11-12'),
('8767758703850459','Irene McGee','Vahoc Grove','2041-03-01'),
('6679607190343978','Donald Daniel','Mozara Ridge','2056-05-11'),
('6559527957528379','Alvin Fisher','Listas Mill','2069-10-15'),
('6888575584500666','Howard Farmer','Sadek Grove','2054-01-16'),
('3677381285745655','Johanna Higgins','Cape Manor','2039-09-04'),
('2102879407709234','Stanley Jackson','Noluh Grove','2123-07-20'),
('3781906671621135','Victor Daniel','Badum Loop','2095-06-30'),
('2180419128788041','Gregory Olson','Rougu Ridge','2123-12-16'),
('1638599510368127','Alan James','Kezep Park','2096-03-20'),
('8554519832063008','Luella Todd','Bewe Circle','2057-11-06'),
('3312211842615397','Hulda Soto','Bicbu Park','2045-05-20'),
('9076858358288408','Virginia Thornton','Suvuj Park','2071-12-31'),
('7909592057708317','Gilbert Munoz','Idba Loop','2073-08-05'),
('6850313650062917','Gene Fitzgerald','Wocug Place','2069-12-29'),
('1465620706021400','Jeremy Gutierrez','Camik Road','2043-10-25'),
('1075844174580300','Jordan Hansen','Wamsu Plaza','2075-08-12'),
('6728493184528744','Gabriel Wagner','Cafri Place','2099-12-01'),
('0001222592464743','Hallie Clark','Unigo Highway','2061-09-13'),
('6396496553664587','Gene Hansen','Mizu Pass','2070-09-13'),
('2924542330861417','Edgar Singleton','Hogi Pass','2079-08-08'),
('2050926431665500','Lora Clarke','Ridem Way','2045-08-17'),
('9774224341087667','Abbie Vasquez','Sijebo Drive','2125-12-26'),
('4645396056411032','Jeff Santiago','Sabdi Trail','2085-12-19'),
('6493353729449658','Lucinda Bowers','Wubda Plaza','2081-05-06'),
('0871074748273459','Cameron Lynch','Todu Glen','2105-02-18'),
('3502448693204197','Florence Santos','Movjij Boulevard','2099-08-02'),
('5966389219990486','Luella Powers','Vuckuf River','2058-05-30'),
('4202256032124748','Troy Turner','Liohi Grove','2029-08-10'),
('7015683736394945','Carrie Payne','Fadola Road','2091-04-19'),
('0163724514039400','Daisy Gordon','Biutu Avenue','2123-01-10'),
('7679908264321336','Bradley Marsh','Wiro Ridge','2088-05-11'),
('4888428830901193','Milton Bailey','Rafa Loop','2100-12-13'),
('6462615310803525','Betty Cook','Uwukar Drive','2098-10-30'),
('1912206990342861','Cora Brady','Lofzi Boulevard','2113-09-18'),
('0908214984485418','Jayden Hampton','Dagba Center','2117-11-06'),
('8414938962094560','Randall Howell','Japi Point','2043-02-18'),
('8409279587986455','Jeff Parsons','Kezeb Extension','2036-05-12'),
('1677196503662687','Harvey Powers','Coluv Street','2082-06-02'),
('8677750032381473','Lawrence Waters','Teba Street','2091-08-01'),
('9256155113236551','Alice Stephens','Lowwot Trail','2088-05-16'),
('3390879303151318','Linnie Alvarado','Falviw Avenue','2117-09-23'),
('5044503419687782','Noah Webster','Ivmul Street','2086-06-05'),
('9704721853357011','Isabel Walker','Wibcu Circle','2037-10-18'),
('9468350003896033','Alan Butler','Kamet Highway','2113-05-09'),
('7629298695542965','Myrtie Joseph','Dices Path','2069-07-12'),
('7516555528467034','Eliza Pierce','Onhor Key','2054-09-22'),
('2871608975739964','Allen Gomez','Bopi Road','2106-05-23'),
('7926013806543440','Mabel Gonzales','Teszoc Terrace','2034-09-05'),
('9591331806463065','Kathryn Dawson','Zaigi View','2101-03-25'),
('2651584060467818','Jimmy Norris','Bisori Key','2042-11-07'),
('1405275349454473','Jim Grant','Gijwu Point','2093-06-27'),
('3792565088846352','Ruth Ramirez','Wekem Lane','2083-09-08'),
('5516381101796448','Nettie Stokes','Kugev Turnpike','2113-01-08'),
('3077049363497033','Johanna Stokes','Jemmob Trail','2069-10-17'),
('4769256765773661','Ina Curtis','Locle Highway','2119-02-11'),
('5515808017896022','Lelia Gross','Uhuruz Plaza','2100-07-18'),
('0950834367012516','Nell Peterson','Teso Square','2115-03-28'),
('4947380985308699','Derrick Carson','Huav Manor','2051-02-11'),
('9137869001487200','Gilbert Sims','Penuk Circle','2082-12-09'),
('9478485354632606','Gerald Beck','Pufpe Path','2094-05-28'),
('6544754916486004','Lydia Tran','Amluh Key','2112-10-24'),
('3519552622053682','Todd Walsh','Ijuov Grove','2103-04-22'),
('8802955070925196','Cody Clarke','Asano Square','2120-11-09'),
('0311985656798680','Jeremy Perkins','Camew Loop','2038-03-04'),
('2255365312893805','Virgie Wells','Gegba View','2031-07-17'),
('5843788635226468','Antonio McCarthy','Ritgiv Manor','2039-05-05'),
('6879090371102485','Pauline Barker','Mokgab Street','2040-03-04'),
('8715990146115399','Annie Peterson','Zadga View','2118-05-23'),
('8529332565514714','Ruth Gordon','Venez View','2112-05-07'),
('0853310305534612','Florence Ruiz','Vuptaz Grove','2097-09-05'),
('0531829596416061','Ronnie Beck','Sotid Terrace','2123-04-12'),
('5116893518437422','Herman Underwood','Gucid Junction','2113-04-05'),
('8964712664540293','Dylan Ray','Jerji Pike','2075-11-05'),
('2729537777273363','Ann Curtis','Miduv Pass','2124-07-20'),
('8397386023278005','Frederick Obrien','Ulaov Court','2082-06-16'),
('3697421389302344','Harriett Silva','Vuas River','2119-11-07'),
('5996422810324308','Vincent Valdez','Cizzij Grove','2053-02-26'),
('9333392761105273','Tyler Welch','Losli Terrace','2100-09-07'),
('8676170322943514','Jacob Moreno','Sajo Street','2094-04-25'),
('7803049139217090','Elijah Richards','Amada Ridge','2093-11-20'),
('9804474280145151','Ralph Burns','Acozo Path','2050-04-03'),
('0056415003545226','Danny Schultz','Ugjac Boulevard','2090-06-23'),
('2970193967243130','Celia Baker','Sogmel Boulevard','2106-01-01'),
('8592684292593266','Kyle Hardy','Faraf Circle','2038-06-20'),
('5823168158065793','Alex Banks','Iddo Street','2071-08-20'),
('3708220624949610','Bradley Ford','Tugtih Street','2060-01-11'),
('1205765490885334','Isaac Pearson','Sazvo Court','2037-05-29'),
('9207178680933541','Mamie Palmer','Itoza Parkway','2097-01-01'),
('0211122695020809','Alexander Sandoval','Ekiwa Grove','2059-11-19'),
('4872608538445393','Eva Long','Obmuw Place','2047-04-12'),
('3787605868364013','Nathaniel Castillo','Wogag Mill','2089-04-18'),
('6533311146230072','Jean Olson','Ceed Key','2074-02-03'),
('2862592132490780','Vincent Carr','Wafvit Park','2041-11-22'),
('8373150761104913','Ronnie Gilbert','Haje Heights','2028-02-22'),
('0002100911199985','Miguel Neal','Kawla Point','2124-12-17'),
('4257829420983929','Brian Summers','Hehmij Plaza','2105-10-19'),
('3356091926615371','Brent Marshall','Kifek Terrace','2065-12-01'),
('5702283705991214','Vera Maldonado','Jaepe Center','2049-04-28'),
('1205494927007084','Franklin Dawson','Kepne Place','2072-01-23'),
('1808577981742481','Wayne Underwood','Alnit Square','2119-09-12'),
('9362444363161647','Walter Gray','Loom Circle','2053-05-16'),
('7659846631972005','Leon Smith','Bani Court','2093-02-20'),
('9637213502046624','Jeff Norton','Umibo Terrace','2082-02-20'),
('2958602628402796','Lettie Stone','Erur Road','2050-07-06'),
('4290816663015870','Ricardo Myers','Gifluv Circle','2065-04-16'),
('9670315843370728','Alvin Jenkins','Gosuc Path','2036-04-15'),
('3308783545336075','Rose Lyons','Wizih Grove','2043-08-09'),
('4666388270511808','Anne Vega','Falif Mill','2101-08-11'),
('5778314602197446','Herbert Wise','Voos Manor','2026-08-25'),
('3204249811707338','Franklin Tyler','Neodo Square','2059-03-13'),
('3561577635628610','Rosa Wright','Ezoor Turnpike','2095-02-09'),
('4980653091491056','Louis Gill','Vukho Street','2101-06-14'),
('4636899459662806','Jason Young','Ebwa Plaza','2033-02-22'),
('5007216794100346','Sean Keller','Jehu Point','2032-11-14'),
('9836013202886413','Bessie McBride','Niwlah Parkway','2125-09-22'),
('9736699300150844','Mamie Hill','Peszeb Boulevard','2067-02-26'),
('3256645194991420','Caroline Meyer','Ofauka Road','2057-10-06'),
('3161979922668499','Corey Flores','Jatvu Drive','2043-05-17'),
('9388870429714218','Billy Kelley','Kozon View','2089-03-06'),
('7378063594770300','Chase McGuire','Pozja Loop','2028-08-14'),
('5241882653500201','Douglas Poole','Satrec Heights','2121-05-07'),
('3884492285832196','Fannie Gibson','Zazda Extension','2048-04-19'),
('7302585334795653','Jonathan Mendoza','Hejar Trail','2026-02-24'),
('3484359240011660','Ricardo Hines','Ziumi Highway','2072-12-30'),
('7143343122013552','Charlotte Neal','Dazu Circle','2080-07-29'),
('5591446185507284','Cecelia Mitchell','Topmob Terrace','2053-05-21'),
('5449490437545779','Mabel Austin','Jaturi Turnpike','2096-09-08'),
('0358207740426108','Juan Walker','Pabe Circle','2027-01-28'),
('0169090592393976','Sally Wagner','Rasru Boulevard','2038-07-04'),
('3248115156029892','Jorge Vaughn','Rewzow Extension','2075-04-06'),
('7680030975067313','Kate Jensen','Useku Terrace','2025-02-23'),
('1664563867160722','Lillie King','Vucga Way','2118-07-19'),
('0096880846860766','Dora McCarthy','Kofo Ridge','2089-01-05'),
('8960162023876134','Lewis Lambert','Zajoco Turnpike','2117-06-21'),
('7972391703083106','Calvin Padilla','Juvul Road','2061-07-08'),
('9550160210102958','Chase Padilla','Kuhaw Street','2120-07-12'),
('6956241388571066','Billy Newton','Ujoohi Plaza','2044-03-07'),
('5766659983513596','Adam Doyle','Kuzte Square','2031-02-18'),
('4073807669078957','Marc Adams','Amubej Ridge','2085-08-25'),
('4159867209519834','Steven Casey','Tizma Lane','2090-11-15'),
('4252489265237028','Louisa Wells','Uzudab Loop','2030-07-20'),
('8466697782866489','Ollie Park','Obira River','2088-12-10'),
('5578099698221400','Daisy Carpenter','Tugpe Road','2075-06-09'),
('1029480313989413','Leon Glover','Bozwu Center','2090-08-20'),
('1858333445946593','Ryan Ramos','Uzigol Street','2057-01-15'),
('7570319618595396','Ina Ballard','Dobade Glen','2079-09-07'),
('2793713379208123','Sally Wright','Dajbe Pass','2035-08-04'),
('4463169202160365','Sophie Steele','Nufad Point','2108-07-15'),
('0688050900844831','Rena Bowers','Baaji Key','2076-09-11'),
('6433825336635217','Mitchell Spencer','Boflu Circle','2111-10-14'),
('8002410385898249','Kate Hunt','Elza Center','2118-04-05'),
('2733126280983304','Jayden Dean','Nisnaj Way','2055-08-26'),
('7757552485251167','Myra Brewer','Elecu Path','2042-03-26'),
('3468275585142967','Wesley Barker','Vahlaw Manor','2108-07-08'),
('5890714348030761','Aaron Hammond','Tepoj Circle','2119-12-22'),
('7255102594773910','Landon Jordan','Vihel View','2037-12-21'),
('1877603139882733','Aaron Lucas','Guum Road','2101-09-02'),
('9681760299581402','Dennis Chavez','Acpuj Court','2060-02-01'),
('1599806903661902','Walter Harris','Hovit Pike','2072-12-22'),
('6916466785573643','Lucinda Grant','Gobe Center','2070-06-29'),
('3118587901339459','Tom Sutton','Ezucar Mill','2096-06-01'),
('7971169869258585','Billy Schneider','Tarsop Pass','2066-06-26'),
('9998639477077014','Celia Castillo','Ajusi Parkway','2090-08-05'),
('6674785045548398','Lela Gibbs','Laaza Lane','2082-08-01'),
('7666678448226161','Mildred Munoz','Sedne River','2039-01-21'),
('8701526703449008','Elnora Gordon','Ijsi Street','2097-02-10'),
('8467566724118033','Maud McGee','Hukza Pass','2049-05-08'),
('1518746900847491','Johanna Franklin','Kamzam Road','2031-06-21'),
('2265825489409151','Bertha Meyer','Zaam Pike','2072-02-10'),
('5721216587944467','Floyd Perkins','Woluw Park','2083-08-26'),
('4051525986141754','Winifred Marsh','Ipimu Pike','2120-11-01'),
('3286460949390564','Adam Townsend','Banoru Center','2074-06-07'),
('6102078172472618','Sylvia Carson','Gewbob Trail','2097-04-25'),
('7921067079681951','Jason Washington','Umake Court','2068-06-14'),
('9393510898899360','Gussie Williams','Fukog Circle','2030-03-04'),
('9676982262021104','Rachel Francis','Wiwa View','2033-09-11'),
('6254399535057104','Bertha Peterson','Bahat Key','2040-06-21'),
('6928424536663891','Hallie Shaw','Guhek Court','2100-05-03'),
('3894604320179622','Gavin Caldwell','Fewzi Way','2112-10-06'),
('0841093704388470','Bess Roy','Siti Way','2112-10-02'),
('9675258353437247','Bessie Neal','Rigom Loop','2102-09-29'),
('2104644912687855','Shane Jacobs','Somge Park','2089-06-07'),
('0571249032650210','Katharine Frank','Daklok Turnpike','2106-12-14'),
('9291025141739843','Nelle Daniel','Ajidud Point','2042-11-13'),
('8923315459705760','Jane Drake','Pepwu Drive','2117-03-27'),
('3642428811264468','Tom Patton','Jevla View','2123-11-14'),
('9388788067938107','Nathan Page','Sovpec Grove','2031-04-21'),
('9318086543074590','Francis Bryant','Zefeb Point','2102-06-15'),
('2284591209849608','Jared Stevens','Nune Pass','2114-05-20'),
('6377763797383272','Howard Mendez','Rorpas Plaza','2034-03-28'),
('5330240654863256','Steve Holmes','Jatlor Point','2075-12-02'),
('8714685953793018','Mike Waters','Ekirom Mill','2049-06-21'),
('1174724244947701','Birdie Owens','Nacubu Pass','2099-12-01'),
('3126702394343867','Gordon Rose','Duuj Place','2109-01-09'),
('8078048987287424','Luis Payne','Aveugi Extension','2117-02-19'),
('8589047443263741','Sylvia Hamilton','Tivnov Junction','2031-08-13'),
('7109245386041119','Edgar Lambert','Dikmur Heights','2117-08-25'),
('2480921316150176','Dollie Yates','Fazup Court','2116-01-05'),
('1610415434396793','Fannie Jefferson','Bergov Pass','2088-12-07'),
('7477558406368451','Lura Higgins','Becol Path','2109-01-02'),
('8292529635373667','Josephine Williams','Viji Heights','2080-09-13'),
('5375648528750609','Cecelia Cross','Zazih Parkway','2117-07-18'),
('7831768566340991','Jeff Rodgers','Kehgus Parkway','2109-07-11'),
('0878060521371930','Leona Ramsey','Gactoc Turnpike','2065-09-20'),
('1350670961189158','Mabel Delgado','Keir View','2123-01-15'),
('1574412017525275','Donald Kelly','Hikago Mill','2047-02-03'),
('3975209257251842','Jared Johnson','Uheso Loop','2060-11-15'),
('4969274437074512','Travis Tucker','Zizoz Path','2102-08-07'),
('3412086234471736','Flora Carson','Wuote Trail','2087-06-02'),
('7813645269432167','Lida Paul','Gukic River','2124-02-14'),
('2272588247830046','Seth Paul','Dobi Square','2037-10-09'),
('3773680076420381','Ronald Norton','Paipu Pass','2095-01-05'),
('9509444430027495','Lela Evans','Koub Park','2116-02-02'),
('6554546377864972','Sara Rivera','Avhug Plaza','2043-01-13'),
('8363363999802021','Leroy Simpson','Icoro Extension','2117-10-07'),
('5012196658963465','Todd Hines','Ovgu Terrace','2042-10-24'),
('3984812651969299','Howard Wagner','Coho Trail','2098-01-16'),
('0519075949525968','Andre Perry','Rimbu Park','2110-11-28'),
('6411836227253727','Ina Ferguson','Ceon Highway','2045-08-22'),
('2563949979644279','Winifred Curry','Nunop Pass','2085-03-24'),
('6103098948534186','Lucille Lamb','Ajfof Square','2105-09-13'),
('7283810582862913','Sally McLaughlin','Joir Center','2119-08-15'),
('7787052170039765','Hettie Byrd','Wapcak Drive','2088-06-15'),
('5624081105913250','Louisa Ray','Bopjip Square','2071-04-05'),
('6013303688307755','Lula Lambert','Nafi River','2106-01-28'),
('4675139653705854','Carlos Taylor','Lebiw Trail','2115-05-20'),
('2189387806529914','Mitchell Lawrence','Zecu Extension','2037-06-23'),
('0477616188130082','Henry Riley','Deub Manor','2055-05-29'),
('4937906940746720','Lucas Bowman','Visizi Boulevard','2087-10-24'),
('2966010260939046','Wesley Brown','Olotig Way','2098-02-12'),
('8820210388607048','Hattie Brown','Lutruh Manor','2039-03-23'),
('4124276145815559','Dorothy Cross','Aracir Square','2030-01-27'),
('4189035654006821','Henry Abbott','Cojvi Key','2120-12-31'),
('2157999157396599','Joshua Terry','Alag Grove','2098-03-04'),
('7290965694489908','Steve Sutton','Ramudi Parkway','2105-06-17'),
('8978933089431785','Zachary Taylor','Sodob Boulevard','2054-02-25'),
('2447967717353245','Cora Woods','Rovdu Heights','2060-02-16'),
('1376902783849939','Victor Gray','Miog Place','2110-03-06'),
('2293315651519569','Flora Curry','Giceho Parkway','2081-02-07'),
('4272721979367188','Hilda Ellis','Lijuke Ridge','2055-02-24'),
('0789005685745020','Herbert Hodges','Oboaku View','2030-03-19'),
('2156790890519416','Myra French','Mikhoh Plaza','2103-04-01'),
('1074939448694404','Matthew Becker','Arohuw Center','2063-09-14'),
('1530240211573173','Marcus Strickland','Eshi Highway','2110-10-13'),
('0016634347966305','Marvin Osborne','Juppa Mill','2058-07-28'),
('9769158078248095','Elnora Sharp','Uvma Pike','2102-04-07'),
('2777021064524435','Lloyd Coleman','Cowa Center','2087-10-23'),
('0037795819029902','Edith McLaughlin','Hiduc Turnpike','2025-02-19'),
('6738082285406776','Lou Floyd','Rini Point','2030-03-28'),
('1802042614172513','Blake Ortega','Ekica Key','2087-03-07'),
('1878970337340750','Elnora Wong','Ipilab Center','2099-03-04'),
('7812154315198751','Eugene Stephens','Pela Court','2041-07-18'),
('4605085144716095','Raymond Rogers','Feklub Glen','2073-03-29'),
('4121771398163901','Frederick Sparks','Ezco Court','2026-04-16'),
('0855092081892235','Eula Thompson','Effuw Key','2029-08-03'),
